"X0","Incidence.Rate..c.","Lab.Confirm.Incidence.rate","X.SD.D..x100..e.","CFR..f.","ID","Country.or.Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological.Week..a.","Number.of.Records","Population.x.1000","Serotype","Severe.Dengue..d.","Total.of.Dengue.Cases..b.","Type","Year"
0,"39.36","3.19",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,36,28,3,"36",1,94,"DEN 2",0,37,"Preliminar",2016
0,"226.97","19.34",0,0,6,"Bahamas","Bahamas",0,36,44,76,"29",1,393,"DEN",0,892,"Preliminar",2016
0,"424.40","119.93",0,0,6,"Barbados","Barbados",0,36,52,349,"36",1,291,"DEN",0,1235,"Preliminar",2016
0,"15.26","0.27",0,0,2,"Belize","Belice",0,36,84,1,"32",1,367,"DEN 3",0,56,"Preliminar",2016
0,"238.24","238.24",0,0,6,"Virgin Islands (UK)","Islas Vírgenes (RU)",0,36,92,81,"36",1,34,"DEN",0,81,"Preliminar",2016
0,"","",NA,NA,1,"Canada","Canadá",0,36,124,0,"36",1,0,"  ",0,0,"Final",2016
0,"189.47","1.75",0,0,6,"Cayman Islands","Islas Caimán",0,36,136,1,"36",1,57,"DEN 3",0,108,"Preliminar",2016
0,"356.23","0.00",0,0,2,"Costa Rica","Costa Rica",0,36,188,0,"36",1,4857,"DEN 1,2,3",0,17302,"Final",2016
0,"381.08","0.00",0,0,6,"Dominica","Dominica",0,36,212,0,"32",1,74,"DEN",0,282,"Preliminar",2016
0,"429.73","0.00",0,0,6,"Dominica","Dominica",0,36,212,0,"32",1,74,"0",0,318,"Preliminar",2016
0,"116.16","1.61",2.423308587,0.014,2,"El Salvador","El Salvador",1,36,222,99,"36",1,6146,"DEN 2",173,7139,"Final",2016
0,"103.60","21.62",0,0,6,"Grenada","Granada",0,36,308,24,"28",1,111,"DEN 1",0,115,"Preliminar",2016
0,"40.91","1.98",0.571763671,0.015,2,"Guatemala","Guatemala",1,36,320,330,"36",1,16673,"DEN 1,2,3,4",39,6821,"Preliminar",2016
0,"39.30","39.30",0,0,6,"Guyana","Guyana",0,36,328,303,"16",1,771,"DEN",0,303,"Preliminar",2016
0,"","",NA,NA,6,"Haiti","Haití",NA,36,332,NA,"-",1,10848,"  ",NA,NA,"Preliminar",2016
