0,Incidence Rate (c),Lab Confirm Incidence rate,(SD/D) x100 (e),CFR (f),ID,Country or Subregion,Country_sp,Deaths,EW,Iso3166,Confirmed,Epidemiological Week (a),Number of Records,Population x 1000,Serotype,Severe Dengue (d),Total of Dengue Cases (b),Type,Year
0,17.39,6.52,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,31,28,6,28,1,92,DEN,0,16,Preliminar,2015
0,,,,,6,Antigua and Barbuda,Antigua y Barbuda,,31,28,,-,1,95,  ,,,Preliminar,2018
0,39.36,3.19,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,31,28,3,28,1,94,DEN 2,0,37,Preliminar,2016
0,1.05,0.00,0,0.000,6,Antigua and Barbuda,Antigua y Barbuda,0,31,28,0,31,1,95,DEN,0,1,Preliminar,2017
0,1.01,0.00,0,0.000,6,Bahamas,Bahamas,0,31,44,0,31,1,395,DEN,0,4,Preliminar,2017
0,2.32,0.26,0,0.000,6,Bahamas,Bahamas,0,31,44,1,30,1,388,DEN,0,9,Preliminar,2015
0,,,,,6,Bahamas,Bahamas,,31,44,,-,1,395,  ,,,Preliminar,2018
0,226.97,19.34,0,0.000,6,Bahamas,Bahamas,0,31,44,76,29,1,393,DEN,0,892,Preliminar,2016
0,,,,,6,Barbados,Barbados,,31,52,,-,1,292,  ,,,Preliminar,2018
0,33.33,5.50,0,0.000,6,Barbados,Barbados,0,31,52,16,20,1,291,DEN 1,0,97,Preliminar,2015
0,378.35,82.82,0,0.000,6,Barbados,Barbados,0,31,52,241,24,1,291,DEN,0,1101,Preliminar,2016
0,65.75,9.93,0,0.000,6,Barbados,Barbados,0,31,52,29,28,1,292,DEN,0,192,Preliminar,2017
0,604.27,5.87,0.088261253,0.000,2,Belize,Belice,0,31,84,22,31,1,375,DEN,2,2266,Preliminar,2017
0,31.61,31.61,0,0.000,2,Belize,Belice,0,31,84,110,16,1,348,DEN 2,0,110,Preliminar,2015
0,,,,,2,Belize,Belice,,31,84,,-,1,375,  ,,,Preliminar,2018
0,15.26,0.27,0,0.000,2,Belize,Belice,0,31,84,1,25,1,367,DEN 3,0,56,Preliminar,2016
0,,,,,6,Virgin Islands (UK),Islas Vírgenes (RU),,31,92,,-,1,35,  ,,,Preliminar,2018
0,118.18,81.82,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,31,92,27,20,1,33,DEN,0,39,Preliminar,2015
0,152.94,152.94,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,31,92,52,24,1,34,DEN,0,52,Preliminar,2016
0,80.00,80.00,0,0.000,6,Virgin Islands (UK),Islas Vírgenes (RU),0,31,92,28,20,1,35,DEN,0,28,Preliminar,2017
0,,,,,1,Canada,Canadá,0,31,124,0,31,1,0,  ,0,0,Final,2016
0,,,,,1,Canada,Canadá,0,31,124,0,31,1,0,  ,0,0,Preliminar,2017
0,,,,,1,Canada,Canadá,0,31,124,0,31,1,0,  ,0,0,Preliminar,2015
0,,,,,1,Canada,Canadá,0,31,124,0,3,1,0,  ,0,0,Preliminar,2018
0,91.23,91.23,0,0.000,6,Cayman Islands,Islas Caimán,0,31,136,52,30,1,57,DEN 3,0,52,Preliminar,2016
0,39.66,0.00,0,0.000,6,Cayman Islands,Islas Caimán,0,31,136,0,31,1,58,DEN,0,23,Preliminar,2017
