Letalidad,Country,Country sp,Total,Dengue,Dengue Grave,Fips,ISO3166Alpha2,ISO3166Alpha3,Code,Muertes,PAHO Code Num,PAHO Code,RegionLvl0,RegionLvl1,RegionLvl2,RegionLvl3,Region,TIS,Tipo,W Pais,Year
0,United States of America,Estados Unidos de América,990,990,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Final,USA,2016
0,Virgin Islands (US),Islas Vírgenes (EUA),3,3,0,VQ,VI,VIR,850,0,483,VIS,AMR,LAC,NLC,CAR,NLC,VUS,final,VIS,2015
,Canada,Canadá,0,0,0,CA,CA,CAN,124,0,437,CAN,AMR,NAR,NAR,NAR,NAR,CAN,Preliminar,CAN,2017
0,United States of America,Estados Unidos de América,348,348,0,US,US,USA,840,0,480,USA,AMR,NAR,NAR,NAR,NAR,USA,Preliminar,USA,2017
0,Belize,Belice,2960,2958,2,BH,BZ,BLZ,84,0,434,BEL,AMR,LAC,CAI,LAM,CAI,BLZ,Preliminar,BLZ,2017
0,Costa Rica,Costa Rica,5561,5561,0,CS,CR,CRI,188,0,443,COR,AMR,LAC,CAI,LAM,CAI,COR,final,CRI,2017
0,El Salvador,El Salvador,4300,4293,7,ES,SV,SLV,222,0,453,ELS,AMR,LAC,CAI,LAM,CAI,ELS,Preliminar,SLV,2017
0.340136054,Guatemala,Guatemala,4116,4045,71,GT,GT,GTM,320,14,458,GUT,AMR,LAC,CAI,LAM,CAI,GUT,Preliminar,GTM,2017
0,Honduras,Honduras,5217,5091,126,HO,HN,HND,340,0,462,HON,AMR,LAC,CAI,LAM,CAI,HON,Preliminar,HND,2017
0.037822745,Mexico,México,89893,89518,375,MX,MX,MEX,484,34,466,MEX,AMR,LAC,CAI,LAM,MEX,MEX,Preliminar,MEX,2017
0.003090617,Nicaragua,Nicaragua,64712,64712,,NU,NI,NIC,558,2,468,NIC,AMR,LAC,CAI,LAM,CAI,NIC,Preliminar,NIC,2017
0.011416828,Panama,Panamá,8759,8736,23,PM,PA,PAN,591,1,470,PAN,AMR,LAC,CAI,LAM,CAI,PAN,Preliminar,PAN,2017
0.021378942,Bolivia,Bolivia,9355,9309,46,BL,BO,BOL,68,2,428,BOL,AMR,LAC,SAR,LAM,ANR,BOL,Preliminar,BOL,2017
0.057079798,Colombia,Colombia,26279,25993,286,CO,CO,COL,170,15,441,COL,AMR,LAC,SAR,LAM,ANR,COL,Preliminar,COL,2017
0.035127777,Ecuador,Ecuador,11387,11369,18,EC,EC,ECU,218,4,451,ECU,AMR,LAC,SAR,LAM,ANR,ECU,Preliminar,ECU,2017
0.099877781,Peru,Perú,76093,75842,251,PE,PE,PER,604,76,474,PER,AMR,LAC,SAR,LAM,ANR,PER,Preliminar,PER,2017
0.185722577,Venezuela,Venezuela,8615,8256,359,VE,VE,VEN,862,16,484,VEN,AMR,LAC,SAR,LAM,ANR,VEN,Preliminar,VEN,2017
0,Argentina,Argentina,557,557,0,AR,AR,ARG,32,0,425,ARG,AMR,LAC,SAR,LAM,SCR,ARG,Preliminar,ARG,2017
0.055940394,Brazil,Brasil,252054,251783,271,BR,BR,BRA,76,141,430,BRA,AMR,LAC,SAR,LAM,BRA,BRA,Preliminar,BRA,2017
