"X0","Incidence.Rate..c.","Lab.Confirm.Incidence.rate","X.SD.D..x100..e.","CFR..f.","ID","Country.or.Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological.Week..a.","Number.of.Records","Population.x.1000","Serotype","Severe.Dengue..d.","Total.of.Dengue.Cases..b.","Type","Year"
0,"17.39","6.52",0,0,6,"Antigua and Barbuda","Antigua y Barbuda",0,37,28,6,"28",1,92,"DEN",0,16,"Preliminar",2015
0,"2.32","0.26",0,0,6,"Bahamas","Bahamas",0,37,44,1,"30",1,388,"DEN",0,9,"Preliminar",2015
0,"33.33","5.50",0,0,6,"Barbados","Barbados",0,37,52,16,"32",1,291,"DEN 1",0,97,"Preliminar",2015
0,"80.46","31.61",0,0,2,"Belize","Belice",0,37,84,110,"32",1,348,"DEN 2",0,280,"Preliminar",2015
0,"490.91","227.27",0,0,6,"Virgin Islands (UK)","Islas Vírgenes (RU)",0,37,92,75,"32",1,33,"DEN",0,162,"Preliminar",2015
0,"","",NA,NA,1,"Canada","Canadá",0,37,124,0,"37",1,0,"  ",0,0,"Preliminar",2015
0,"122.77","0.00",0.097703957,0,2,"Costa Rica","Costa Rica",0,37,188,0,"37",1,5002,"DEN 1,2,3",6,6141,"Final",2015
0,"33.78","2.70",0,0,6,"Dominica","Dominica",0,37,212,2,"24",1,74,"DEN",0,25,"Preliminar",2015
0,"467.72","122.74",0.841762044,0.007,2,"El Salvador","El Salvador",2,37,222,7887,"37",1,6426,"DEN 1,2,3",253,30056,"Preliminar",2015
0,"9.91","9.91",0,0,6,"Grenada","Granada",0,37,308,11,"32",1,111,"DEN",0,11,"Preliminar",2015
0,"75.55","2.88",0.13028255,0.041,2,"Guatemala","Guatemala",5,37,320,468,"35",1,16255,"DEN 1,2,3,4",16,12281,"Preliminar",2015
0,"17.57","17.57",0,0,6,"Guyana","Guyana",0,37,328,142,"24",1,808,"DEN",0,142,"Preliminar",2015
0,"0.53","0.00",0,0,6,"Haiti","Haití",0,37,332,0,"22",1,10604,"DEN 1,2,3,4",0,56,"Preliminar",2015
