"X0","Incidence.Rate..c.","Lab.Confirm.Incidence.rate","X.SD.D..x100..e.","CFR..f.","ID","Country.or.Subregion","Country_sp","Deaths","EW","Iso3166","Confirmed","Epidemiological.Week..a.","Number.of.Records","Population.x.1000","Serotype","Severe.Dengue..d.","Total.of.Dengue.Cases..b.","Type","Year"
0,"0.00","0.00",NA,NA,6,"Antigua and Barbuda","Antigua y Barbuda",0,16,28,0,"4",1,92,"  ",0,0,"Preliminar",2015
0,"4.11","0.86",0,0,4,"Argentina","Argentina",0,16,32,364,"16",1,42155,"DEN 1,4",0,1731,"Preliminar",2015
0,"1.29","0.26",0,0,6,"Bahamas","Bahamas",0,16,44,1,"12",1,388,"DEN",0,5,"Preliminar",2015
0,"0.00","0.00",NA,NA,6,"Bermuda","Bermuda",0,16,60,0,"4",1,70,"  ",0,0,"Preliminar",2015
0,"366.28","2.58",0.054158618,0.031,4,"Brazil","Brasil",229,16,76,5248,"15",1,203657,"DEN 1,2,3,4",404,745957,"Preliminar",2015
0,"31.61","31.61",0,0,2,"Belize","Belice",0,16,84,110,"16",1,348,"DEN 2",0,110,"Preliminar",2015
0,"","",NA,NA,1,"Canada","Canadá",0,16,124,0,"16",1,0,"  ",0,0,"Preliminar",2015
0,"0.04","0.04",0,0,4,"Chile","Chile",0,16,152,7,"9",1,17924,"DEN",0,7,"Preliminar",2015
0,"68.54","0.00",1.381646782,0.015,3,"Colombia","Colombia",5,16,170,0,"16",1,49529,"DEN 1,2,3,4",469,33945,"Preliminar",2015
0,"20.33","0.00",0,0,2,"Costa Rica","Costa Rica",0,16,188,0,"16",1,5002,"DEN 1,2,3",0,1017,"Final",2015
0,"13.51","2.70",0,0,6,"Dominica","Dominica",0,16,212,2,"5",1,74,"DEN",0,10,"Preliminar",2015
0,"46.22","2.55",0.133333333,0.027,3,"Ecuador","Ecuador",2,16,218,414,"15",1,16226,"DEN 1,2,3,4",10,7500,"Preliminar",2015
0,"49.67","7.97",0.501253133,0,2,"El Salvador","El Salvador",0,16,222,512,"16",1,6426,"DEN 1,2,3",16,3192,"Preliminar",2015
0,"359.92","89.31",0,0,6,"French Guiana","Guayana Francesa",0,16,254,234,"13",1,262,"DEN 1,2,4",0,943,"Preliminar",2015
0,"7.45","1.06",0,0,6,"Guadeloupe","Guadalupe",0,16,312,5,"13",1,470,"DEN",0,35,"Preliminar",2015
0,"17.44","0.34",0.24691358,0.212,2,"Guatemala","Guatemala",6,16,320,55,"16",1,16255,"DEN 1,2,3,4",7,2835,"Preliminar",2015
0,"153.60","0.00",3.184171883,0,2,"Honduras","Honduras",0,16,340,0,"16",1,8424,"DEN",412,12939,"Preliminar",2015
0,"0.53","0.07",0,0,6,"Jamaica","Jamaica",0,16,388,2,"14",1,2813,"DEN 4",0,15,"Preliminar",2015
0,"7.39","1.23",0,0,6,"Martinique","Martinica",0,16,474,5,"13",1,406,"DEN",0,30,"Preliminar",2015
0,"15.79","2.23",3.10935841,0,2,"Mexico","México",0,16,484,2790,"16",1,125236,"DEN 1,2,3,4",615,19779,"Preliminar",2015
0,"135.59","1.85",0,0,2,"Nicaragua","Nicaragua",0,16,558,116,"16",1,6257,"DEN 2,3",0,8484,"Preliminar",2015
0,"9.78","7.47",0.256410256,0,2,"Panama","Panamá",0,16,591,298,"16",1,3988,"DEN 1,2,3",1,390,"Preliminar",2015
0,"324.77","40.45",0,0,4,"Paraguay","Paraguay",0,16,600,2845,"16",1,7033,"DEN 1,2,4",0,22841,"Preliminar",2015
0,"38.16","15.83",0.39529016,0.118,3,"Peru","Perú",14,16,604,4932,"16",1,31161,"DEN 2,3",47,11890,"Preliminar",2015
0,"17.45","0.79",0,0,5,"Puerto Rico","Puerto Rico",0,16,630,29,"15",1,3680,"DEN 1,2,3,4",0,642,"Preliminar",2015
0,"88.89","88.89",0,0,6,"Saint Barthelemy","San Bartolomé",0,16,652,8,"13",1,9,"DEN",0,8,"Preliminar",2015
0,"5.77","0.00",0,0,6,"Saint Kitts and Nevis","Saint Kitts y Nevis",0,16,659,0,"5",1,52,"DEN",0,3,"Preliminar",2015
0,"18.75","0.00",0,0,6,"Anguilla","Anguila",0,16,660,0,"4",1,16,"DEN",0,3,"Preliminar",2015
0,"4.27","2.44",0,0,6,"Saint Lucia","Santa Lucía",0,16,662,4,"11",1,164,"DEN 1",0,7,"Preliminar",2015
0,"246.34","102.44",0,0,6,"Saint Martin","Isla de San Martín (Francia)",0,16,663,42,"13",1,41,"DEN",0,101,"Preliminar",2015
0,"2.08","0.07",0,0,6,"Trinidad and Tobago","Trinidad y Tobago",0,16,780,1,"4",1,1347,"DEN 1",0,28,"Preliminar",2015
0,"0.00","0.00",NA,NA,6,"Turks and Caicos Islands","Islas Turcas y Caicos",0,16,796,0,"4",1,50,"  ",0,0,"Preliminar",2015
0,"0.02","0.02",0,0,1,"United States of America","Estados Unidos de América",0,16,840,75,"16",1,325128,"DEN",0,75,"Preliminar",2015
0,"0.00","0.00",NA,NA,6,"Virgin Islands (US)","Islas Vírgenes (EUA)",0,16,850,0,"16",1,104,"  ",0,0,"final",2015
0,"0.00","0.00",NA,NA,4,"Uruguay","Uruguay",0,16,858,0,"16",1,3430,"  ",0,0,"Preliminar",2015
0,"102.25","",0.399183891,NA,3,"Bolivia","Bolivia",NA,16,68,NA,"16",1,11025,"DEN",45,11273,"Final",2015
