x,y
407,0
407,2
411,9
412,14
414,17
414,19
416,22
416,24
420,31
420,33
422,36
422,38
424,41
424,43
426,46
426,48
428,51
428,53
432,60
432,63
434,65
434,67
436,70
436,73
438,75
438,77
442,84
442,87
446,94
446,96
448,99
448,101
452,108
452,111
456,118
456,121
458,123
458,125
462,132
462,135
466,142
466,144
468,147
468,149
471,154
472,159
476,166
476,169
478,171
478,174
480,176
480,178
482,181
482,184
484,187
484,189
486,192
486,195
488,198
490,206
492,209
493,216
496,223
496,229
496,223
495,222
494,216
492,212
492,208
488,200
488,197
486,194
485,189
482,184
481,178
478,173
478,171
476,168
476,166
474,163
474,161
472,158
472,156
470,153
470,151
468,148
468,146
466,144
465,139
462,134
462,132
460,129
460,127
456,120
456,117
452,110
452,108
450,105
450,103
446,96
445,91
442,86
442,84
440,81
440,79
436,72
436,69
432,62
432,60
430,57
430,55
426,48
426,45
422,38
422,35
418,28
418,26
412,14
412,11
410,8
410,6
