"Letalidad","Country","Country_sp","Total","Dengue","Dengue_Grave","Fips","ISO3166Alpha2","ISO3166Alpha3","Code","Muertes","PAHO_Code_Num","PAHO_Code","RegionLvl0","RegionLvl1","RegionLvl2","RegionLvl3","Region","TIS","Tipo","W_Pais","Year"
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1980
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1981
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1982
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1983
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1984
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1985
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1986
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1987
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1988
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1989
0,"Antigua and Barbuda","Antigua y Barbuda",1,1,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1990
0,"Antigua and Barbuda","Antigua y Barbuda",1,1,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1991
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1992
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1993
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1994
0,"Antigua and Barbuda","Antigua y Barbuda",56,56,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1995
0,"Antigua and Barbuda","Antigua y Barbuda",12,12,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1996
0,"Antigua and Barbuda","Antigua y Barbuda",7,7,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1997
0,"Antigua and Barbuda","Antigua y Barbuda",4,4,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1998
0,"Antigua and Barbuda","Antigua y Barbuda",2,2,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",1999
0,"Antigua and Barbuda","Antigua y Barbuda",8,8,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2000
0,"Antigua and Barbuda","Antigua y Barbuda",20,20,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2001
0,"Antigua and Barbuda","Antigua y Barbuda",5,5,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2002
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2003
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2004
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2005
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2006
NA,"Antigua and Barbuda","Antigua y Barbuda",0,0,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2007
0,"Antigua and Barbuda","Antigua y Barbuda",17,17,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2008
0,"Antigua and Barbuda","Antigua y Barbuda",2,0,2,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2009
0,"Antigua and Barbuda","Antigua y Barbuda",3,3,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2010
0,"Antigua and Barbuda","Antigua y Barbuda",7,7,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2011
0,"Antigua and Barbuda","Antigua y Barbuda",10,10,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2012
0,"Antigua and Barbuda","Antigua y Barbuda",3,3,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2013
0,"Antigua and Barbuda","Antigua y Barbuda",37,37,0,"AC","AG","ATG",28,0,431,"ANT","AMR","LAC","NLC","CAR","NLC","ANT","Final","ATG",2014
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1980
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1981
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1982
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1983
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1984
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1985
NA,"Argentina","Argentina",0,0,0,"AR","AR","ARG",32,0,425,"ARG","AMR","LAC","SAR","LAM","SCR","ARG","Final","ARG",1986
