"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2018-02-15T11:59Z(-12.0h, +12.0h)","4.35","90.0","2018-02-12T14:27Z","65.18","Max Kp Range: 3.0 - 4.0","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2018-02-15T16:30Z(-6.0h, +6.0h)","8.87","70.0","2018-02-12T16:30Z","63.13","----","DBM ","Manuela Temmer (UNIGRAZ)"," Detail"
"2018-02-15T06:42Z(-7.0h, +7.0h)","-0.93","----","2018-02-12T16:33Z","63.08","Max Kp Range: 3.0 - 5.0","WSA-ENLIL + Cone (GSFC SWRC) ","Mary Aronne (SWRC)"," Detail"
"2018-02-14T22:25Z","-9.22","----","2018-02-12T16:55Z","62.72","----","SARM ","Marlon Nunez (UMA)"," Detail"
"2018-02-14T09:00Z","-22.63","----","2018-02-12T19:21Z","60.28","Max Kp Range: -- - 5.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2018-02-15T06:24Z(-4.0h, +4.0h)","-1.23","----","2018-02-13T07:00Z","48.63","----"," EAM (Effective Acceleration Model) ","Evangelos Paouris (UoA)"," Detail"
"2018-02-16T09:00Z(-7.0h, +7.0h)","25.37","70.0","2018-02-13T07:04Z","48.57","Max Kp Range: 3.0 - 5.0"," Other (NSSC SEPC) ","Jingjing Wang (NSSC SEPC)"," Detail"
"2018-02-14T18:00Z","-13.63","----","2018-02-13T09:57Z","45.68","----","WSA-ENLIL + Cone (Met Office) ","Met Office (Met Office)"," Detail"
"2018-02-15T14:28Z","6.83","----","2018-02-13T10:20Z","45.30","----"," ElEvo ","Tanja Amerstorfer (SRI)"," Detail"
"2018-02-14T05:00Z","-26.63","----","2018-02-13T11:13Z","44.42","----","WSA-ENLIL + Cone (KSWC) ","RWC Jeju (KSWC)"," Detail"
"2018-02-15T02:18Z","-5.33","----","2018-02-13T12:10Z","43.47","----","CAT-PUMA ","Jiajia Liu (UoS)"," Detail"
"2018-02-15T02:16Z(-14.3h, +10.4h)","-5.37","81.0","2018-02-13T15:27Z","40.18","Max Kp Range: 2.0 - 4.0","Ensemble WSA-ENLIL + Cone (GSFC SWRC) ","Michael GreklekMcKeon (CCMC)"," Detail"
"2018-02-15T06:09Z","-1.48","77.75","---","---","Max Kp Range: 2.75 - 4.6"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
"2018-02-16T04:00Z","20.37","----","2018-02-15T23:59Z","-16.35","Dst min. in nT: -47 Dst min. time: 2018-02-16T16:00Z ","Anemomilos ","WKent Tobiska (SET SWD)"," Detail"
