"Predicted Shock Arrival Time","Difference (hrs)","Confidence (%)","Submitted On","Lead Time (hrs)","Predicted Geomagnetic Storm Parameter(s)","Method","Submitted By"
"2013-03-16T20:00Z","-9.47","----","2013-03-15T11:43Z","41.75","Max Kp Range: 5.0 - 6.0","WSA-ENLIL + Cone (NOAA/SWPC) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T01:00Z","-4.47","----","2013-03-15T13:00Z","40.47","Dst min. in nT: -139 Dst min. time: 2013-03-17T11:00Z ","Anemomilos ","Leila Mays (GSFC)"," Detail"
"2013-03-18T13:00Z","31.53","----","2013-03-15T13:19Z","40.15","----","Other (SIDC) ","Leila Mays (GSFC)"," Detail"
"2013-03-16T16:59Z(-7.0h, +7.0h)","-12.48","----","2013-03-15T14:04Z","39.40","Max Kp Range: 6.0 - 8.0","WSA-ENLIL + Cone (GSFC SWRC) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T00:00Z","-5.47","----","2013-03-15T23:30Z","29.97","----","Other (ips.gov.au) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T00:00Z","-5.47","----","2013-03-16T00:39Z","28.82","----"," H3DMHD (HAFv.3+3DMHD) ","Leila Mays (GSFC)"," Detail"
"2013-03-17T09:00Z","3.53","----","2013-03-16T01:26Z","28.03","----"," ESA ","Leila Mays (GSFC)"," Detail"
"2013-03-17T10:46Z","5.30","----","2013-03-16T10:41Z","18.78","----","DBM ","Leila Mays (GSFC)"," Detail"
"2013-03-17T15:00Z","9.53","----","2013-03-16T12:29Z","16.98","Max Kp Range: -- - 7.0","BHV ","Leila Mays (GSFC)"," Detail"
"2013-03-17T06:51Z","1.38","----","---","---","Max Kp Range: 5.5 - 7.0"," Average of all Methods ","Auto Generated (CCMC)"," Detail"
