"defini","WKENDDATE","X.ILI.CHR","X.ILI.ETR","X.ILI.JMR","X.ILI.KKR","X.ILI.MCR","X.ILI.MSR","X.ILI.NDR","X.ILI.NER","X.ILI.SCR","X.ILI.SER","X.ILI.SUL","X.ILI.UCR","X.ILI.WTR","X.ILI"
"1","1/10/09","0","0.8","0","0","0.17","1.41","0.1","0","0","0.33","0.62","0","0.18","0.21"
"2","1/17/09","2.11","0.44","3.26","0.47","0.42","0.74","0.29","0","0","0.54","2.86","0","0","0.5"
"3","1/24/09","0.56","0.69","3.68","0.75","0.71","1.01","0.78","0.19","0","0.44","0.39","0","0","0.87"
"4","1/31/09","2.99","0.4","4.99","1.55","0.38","0","0.44","0.29","0","1.26","1.6","0","0.23","0.75"
"5","2/7/09","17.66","1.32","5.53","0.8","0.31","0.74","0.5","0.18","0","3.42","2.02","0","0.17","2"
"6","2/14/09","17.26","1.41","8.46","2.37","0.74","0.13","0.85","0.29","0","0.62","1.25","0","0.35","1.98"
"7","2/21/09","0.46","1.88","7.61","0.34","1","0","0.34","4.25","0","1.62","1.08","0","0","1.16"
"8","2/28/09","0.42","2.84","8.92","5.24","0.6","0.26","0.48","0","0","2.37","0.75","2.46","0.36","1.41"
"9","3/7/09","0.8","2.45","0","2.67","2.14","0","0.48","4.3","0","2.16","7.61","2.31","0.49","1.55"
"10","3/14/09","0.21","2.41","7.39","2.73","2.25","0","0.52","0","0.51","1.14","0.37","0.76","0.56","1.35"
"11","3/21/09","2.11","0.78","6.73","1.72","0.54","0","0.63","0","0","1.27","1.06","0","0.73","1.07"
"12","3/28/09","0.27","0.94","0","0.36","0.41","0.27","0.29","0","0.5","0.5","0","0.47","0","0.53"
"13","4/4/09","0","0.62","2.74","0.61","0.35","0","0.39","0","0","0.55","0","0","0","0.74"
"14","4/11/09","0.79","1","3.34","0.71","0.34","0","0.23","0","0","0.88","0","0","0","0.92"
"15","4/18/09","0","0.22","2.46","0.12","0","0","0","0","0","0.47","0","0.32","0","0.51"
"16","4/25/09","0.3","0.3","2.51","0.22","0.5","0","0.04","0.59","1.1","0","0.3","0","0.56","0.29"
"17","5/2/09","0.31","0.8","3.88","0.63","1.21","0.59","0.19","2.29","0","0.79","0.64","0.59","2.39","0.69"
"18","5/9/09","0.16","0.92","2.96","1.62","0.92","0.36","3.23","1.4","0","0.79","0","0.71","2.06","1.11"
"19","5/16/09","0.2","0.6","4","2","1.2","0","4.9","5.4","0.9","0.6","0.3","1.2","1.5","1.12"
"20","5/23/09","0.18","0.13","0","0","0.31","0","0","7.23","0","0.4","0.62","0.78","0.55","0.42"
"21","5/30/09","0","0.28","2.68","0","0.14","0","0","0.4","0","0.66","2","0","0","0.55"
"22","6/6/09","0","0.06","1.91","0.21","0.13","0","0","0","0","0.42","0","0.65","0","0.27"
"23","6/13/09","0","0.13","2.67","0","0.28","0","0.83","0","0","0","0","0.23","0.22","0.43"
"24","6/20/09","0","0.21","0","0","0.22","0","0","0","0","0.21","0","0.17","0","0.14"
"25","6/27/09","0","0.13","2.05","0","0.21","0.17","0.31","0","0","0","0","0","0","0.28"
"26","7/4/09","0","0.21","1.65","0.93","0.27","0","0","0","0","0.22","0","0","0","0.37"
"27","7/11/09","0","0.11","1.1","0.4","0.18","0.42","0.27","0","0","0.27","0","0","0","0.25"
"28","7/18/09","0","0.1","0","0.2","0.2","0","1","0","0","0.2","0","0","0","0.16"
"29","7/25/09","0","0.04","0","0.12","0.3","0.15","0","1.56","0","0","0","0","0","0.14"
"30","8/1/09","0.31","0.12","0","1.25","0.75","0","0","0","0.37","0.33","0","0","0.2","0.37"
"31","8/8/09","0","0.2","3.2","0","0.5","0","0","0","0","0","0","0","0","0.59"
"32","8/15/09","0","0.1","0","0.4","0.4","0","0","0","0","0","0","0","0.2","0.16"
"33","8/22/09","0","0.8","1.4","1.6","1.5","1.5","3.1","0.2","0","0.2","0","0","0.3","0.94"
"34","8/29/09","0.2","1.1","3.3","11.1","2.5","0","6","0","0","1.8","0.6","1.2","1","2.67"
"35","9/5/09","1.4","2.5","3.4","6.2","5.5","0","9.3","1.5","1.2","1.9","1.1","3.1","1","4.14"
"36","9/12/09","5.8","2.7","4.5","10.4","4.9","2.9","12.2","0.2","0.5","2.9","1.9","1.4","0.8","4.75"
"37","9/19/09","2","3.9","4.4","9.2","4.9","1.2","6.3","0.6","0.9","3.5","0","2.7","0.9","3.88"
"38","9/26/09","4.5","5.1","0","1.9","6.8","0.8","5.3","0.5","0","5.6","6","3","2.5","4.48"
"39","10/3/09","4.2","7.9","0","3.1","6.3","2.2","3.5","0.9","1.4","3","1.9","1.7","1.9","4.19"
"40","10/10/09","3.2","3.4","1.6","3","6.2","0.5","2.9","0.3","1.4","5.1","0","4.2","1.7","3.29"
"41","10/17/09","1.8","5.2","2.2","5.1","5.3","0.5","5.7","0.8","2.3","6.7","3.4","4.6","1.3","4.31"
"42","10/24/09","1.7","2.8","2.2","2.8","6.1","0.6","8","4.9","0.6","3.9","4.5","3.2","1.1","3.87"
"43","10/31/09","0.7","5.9","1.5","6.4","6.1","1","6","4.1","0.6","7.4","14.1","1.8","1.2","4.77"
"44","11/7/09","1.8","1.5","1.1","3.3","5.2","1.2","7.9","5.2","0","4.2","3.3","2.2","0.5","3.22"
"45","11/14/09","1.4","1.4","0","2.7","3.8","1.6","6.2","0.7","0","2.9","0.8","1.4","0.8","2.54"
"46","11/21/09","1.3","1.9","1.1","5.3","4.2","0.5","4.8","1.5","0","2.1","0.9","0.9","0.4","2.49"
"47","11/28/09","1.5","1.3","1.2","2.8","2.2","0.3","6.4","0","0","1.1","0.6","0.9","0","2.03"
"48","12/5/09","0.9","1.2","0.5","0.5","2.1","3.4","4","1.7","0","0.2","0.3","1.2","0.3","1.48"
"49","12/12/09","3.3","1","1.4","2.6","1","1.5","2.9","0.3","0","2.5","0","0.3","0.2","1.54"
"50","12/19/09","0.4","0.8","2.5","4.4","0.8","0","6.2","0","0.5","0.7","0","0.2","0","1.53"
"51","12/26/09","0","1.6","1.7","0","0","3.5","9.6","0.6","1.1","0","0","0","0","2.11"
"52","1/2/10","1","0.4","3","0.5","5.9","4.4","5.7","0.5","0","1.4","0","0.4","0.3","1.79"
"1","1/9/10","0.4","0.4","2.2","0","1.1","0","2.2","0","0","0","0","0.2","0.2","0.75"
"2","1/16/10","0.3","0.1","2.2","0","0.7","1.5","1.5","0.7","1.3","0","0","0","0","0.64"
"3","1/23/10","0.1","0.4","3.2","0.3","1.4","1","3","0.7","0","0.2","0","0.3","0","1.07"
"4","1/30/10","0.4","0.2","2.7","1.8","1.8","0","2.7","1","0.3","1.5","0","0","0.4","1.05"
