"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,1,0,1,0,1,1,0,0,0,0.34,2017
"Baja California",0,1,2,0,0,2,0,0,2,7,1,0,0.48,2017
"Baja California Sur",0,0,0,4,2,4,4,7,20,11,2,0,8.48,2017
"Campeche",0,0,0,0,210,0,70,70,0,1,0,0,42.68,2017
"Coahuila",17,0,17,17,34,85,0,17,253,406,236,34,40.61,2017
"Colima",10,5,28,14,48,23,14,0,10,23,14,0,29.05,2017
"Chiapas",32,29,29,54,135,115,73,129,146,82,40,16,18.35,2017
"Chihuahua",0,0,0,0,0,0,0,0,0,23,0,0,0.68,2017
"Ciudad de México",0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"Durango",0,0,0,0,0,2,5,32,227,328,31,5,38.58,2017
"Guanajuato",3,0,3,0,24,161,279,2804,4077,4167,1854,73,245.06,2017
"Guerrero",62,37,56,15,46,83,102,87,71,60,6,6,18.62,2017
"Hidalgo",0,2,0,2,7,14,31,105,162,104,4,0,16.17,2017
"Jalisco",76,38,84,47,233,173,250,653,517,666,1478,136,59.19,2017
"México",13,5,5,31,57,49,88,142,124,135,119,7,5.11,2017
"Michoacán",39,30,30,16,2,29,23,88,73,66,71,12,11.01,2017
"Morelos",118,84,101,17,151,268,34,68,17,64,51,0,54.75,2017
"Nayarit",88,44,61,9,176,97,36,80,44,8,35,0,62.49,2017
"Nuevo León",101,74,82,79,94,140,255,600,1215,1100,269,85,87.98,2017
"Oaxaca",0,5,26,16,32,42,27,89,69,115,37,10,12.31,2017
"Puebla",21,23,16,21,50,75,71,219,188,323,94,4,19.12,2017
"Querétaro",0,0,0,0,0,0,0,2,36,19,34,0,4.98,2017
"Quintana Roo",7,12,24,17,19,53,43,14,15,5,12,5,17.05,2017
"San Luis Potosí",1,2,5,9,14,14,17,19,15,19,5,1,4.68,2017
"Sinaloa",39,35,21,11,7,11,35,39,25,18,4,0,8.85,2017
"Sonora",6,3,9,12,7,14,15,20,72,32,2,0,7.21,2017
"Tabasco",23,32,7,13,16,32,19,23,0,12,3,0,8.04,2017
"Tamaulipas",87,46,50,15,93,176,268,299,212,179,117,30,48.09,2017
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2017
"Veracruz",41,43,52,41,51,184,182,393,373,302,159,44,24.4,2017
"Yucatán",9,18,24,24,24,38,47,18,12,9,3,3,11.71,2017
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2017
