"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Baja California",0,0,0,0,0,0,0,0,0,0,1,0,0.04,2000
"Baja California Sur",0,0,0,0,0,0,0,0,0,1,0,0,0.25,2000
"Campeche",0,0,0,0,0,0,0,0,0,1,2,0,0.42,2000
"Coahuila",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Colima",0,0,0,1,0,1,0,0,0,0,0,0,0.37,2000
"Chiapas",2,4,2,1,1,2,2,10,37,111,65,15,6.21,2000
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Distrito Federal",0,0,0,0,0,0,0,0,0,1,0,0,0.01,2000
"Durango",0,0,0,0,0,0,0,1,0,0,0,0,0.07,2000
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Guerrero",0,0,0,0,6,0,0,1,1,2,1,3,0.44,2000
"Hidalgo",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Jalisco",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Michoacán",0,0,0,0,2,10,0,0,0,0,0,0,0.28,2000
"Morelos",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Nayarit",0,1,1,0,0,0,0,0,0,0,0,0,0.21,2000
"Nuevo León",1,0,0,1,1,0,0,10,3,3,3,0,0.57,2000
"Oaxaca",4,1,0,1,3,11,47,75,35,9,9,9,5.69,2000
"Puebla",0,0,1,0,0,0,3,32,7,4,4,0,0.99,2000
"Queretaro",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Quintana Roo",2,0,1,0,12,2,0,0,0,0,0,0,2.08,2000
"San Luis Potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Sinaloa",0,3,1,0,1,0,0,0,0,4,0,0,0.36,2000
"Sonora",0,0,0,0,3,22,54,39,65,96,44,5,14.55,2000
"Tabasco",0,0,0,0,0,0,0,0,0,1,1,1,0.15,2000
"Tamaulipas",14,6,11,9,3,1,0,12,86,44,30,5,8.07,2000
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Veracruz",8,9,9,7,6,53,171,58,156,57,21,15,8.02,2000
"Yucatán",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2000
