"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,1,0,0,0,0,0,0,1,1,0.25,2011
"Baja California",0,0,1,11,2,0,5,0,0,0,0,1,0.63,2011
"Baja California Sur",16,4,1,1,0,3,2,2,2,7,22,3,9.89,2011
"Campeche",14,19,14,12,24,18,30,65,89,276,285,89,113.69,2011
"Coahuila",0,0,0,3,0,0,1,1,0,0,0,0,0.18,2011
"Colima",20,22,30,30,39,40,24,37,36,46,29,20,57.34,2011
"Chiapas",34,20,26,39,71,57,61,100,105,94,48,10,13.86,2011
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Durango",0,1,0,0,1,2,1,1,0,6,0,0,0.73,2011
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Guerrero",29,19,31,37,29,51,118,109,111,98,64,14,20.95,2011
"Hidalgo",1,0,3,0,0,0,5,9,8,5,18,1,1.88,2011
"Jalisco",11,12,19,18,18,21,30,24,16,22,21,7,2.98,2011
"México",1,1,0,0,1,1,0,1,0,0,0,1,0.04,2011
"Michoacán",35,34,48,34,46,28,49,56,45,108,79,15,13.26,2011
"Morelos",13,18,9,11,26,54,52,123,124,215,82,40,43.16,2011
"Nayarit",0,0,2,5,4,6,3,7,8,13,4,2,4.98,2011
"Nuevo León",26,46,80,46,57,69,88,50,63,79,90,21,15.36,2011
"Oaxaca",5,24,31,25,65,85,128,171,125,147,124,20,24.99,2011
"Puebla",5,10,17,12,25,15,22,23,17,20,6,2,3.01,2011
"Querétaro",0,0,0,1,0,0,1,20,46,8,0,0,4.16,2011
"Quintana Roo",7,10,24,31,43,36,132,199,401,560,259,60,132.92,2011
"San Luis Potosí",7,1,5,10,6,10,6,11,18,7,0,0,3.13,2011
"Sinaloa",4,4,4,8,11,5,13,20,11,4,7,0,3.29,2011
"Sonora",6,0,10,8,16,10,10,7,9,6,5,0,3.27,2011
"Tabasco",2,14,10,10,15,10,6,38,62,81,51,22,14.34,2011
"Tamaulipas",4,7,4,5,5,7,12,8,14,13,5,1,2.6,2011
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
"Veracruz",15,13,16,18,21,16,79,154,340,316,222,47,16.45,2011
"Yucatán",47,24,14,9,16,17,45,173,855,1970,1506,690,274.39,2011
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2011
