"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"Baja California",1,0,0,0,0,1,0,1,0,0,0,1,0.13,2012
"Baja California Sur",4,0,0,2,4,8,4,16,31,107,476,366,159.81,2012
"Campeche",229,195,95,94,147,232,257,370,287,249,89,25,275.89,2012
"Coahuila",1,0,0,0,0,2,3,11,47,42,20,0,4.58,2012
"Colima",8,28,9,5,6,19,20,40,54,75,97,60,64.71,2012
"Chiapas",62,66,40,77,160,527,640,650,721,615,293,49,81.31,2012
"Chihuahua",0,0,0,0,0,0,0,1,0,0,0,0,0.03,2012
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"Durango",0,0,0,0,0,1,0,0,0,2,3,0,0.37,2012
"Guanajuato",0,0,0,0,0,0,0,1,0,0,0,0,0.02,2012
"Guerrero",106,80,78,93,167,523,1009,1403,1272,1035,708,180,196.35,2012
"Hidalgo",2,3,3,4,2,7,13,26,56,53,13,4,6.98,2012
"Jalisco",18,15,8,15,23,26,39,43,115,254,164,86,10.96,2012
"México",0,0,1,1,0,5,27,58,39,36,51,27,1.61,2012
"Michoacán",113,144,177,86,114,107,306,473,364,497,296,88,63.55,2012
"Morelos",48,20,2,36,144,364,692,1267,1640,1736,744,46,379.19,2012
"Nayarit",1,1,1,0,4,4,7,8,0,0,0,0,2.4,2012
"Nuevo León",45,60,47,62,91,119,151,140,166,445,278,92,36.45,2012
"Oaxaca",73,46,49,64,135,290,500,743,441,750,225,82,89.37,2012
"Puebla",12,8,9,12,32,27,43,121,142,153,52,33,11.14,2012
"Querétaro",0,0,0,0,0,0,1,0,0,2,0,0,0.16,2012
"Quintana Roo",132,72,78,89,89,119,123,194,252,334,267,127,141.52,2012
"San Luis Potosí",6,6,4,3,12,54,142,183,288,289,106,50,44.21,2012
"Sinaloa",3,4,6,3,8,9,12,26,29,34,59,33,8.17,2012
"Sonora",6,9,4,11,13,6,22,25,120,727,234,134,49.24,2012
"Tabasco",83,88,119,113,184,276,922,1363,861,707,326,105,229.92,2012
"Tamaulipas",12,10,12,14,74,130,384,693,560,647,407,161,94.97,2012
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2012
"Veracruz",101,76,94,213,427,722,2041,4177,3976,2317,779,239,198.37,2012
"Yucatán",810,263,142,92,178,375,772,1094,1271,1151,581,209,354.78,2012
"Zacatecas",0,0,0,0,0,0,0,0,0,29,48,0,5.17,2012
