"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Baja California",2,2,0,0,2,0,1,0,1,2,2,0,0.38,2016
"Baja California Sur",25,32,23,16,12,15,3,14,53,124,43,7,57.61,2016
"Campeche",1057,373,30,33,60,33,0,307,274,30,0,0,267.13,2016
"Coahuila",0,5,5,5,6,5,6,73,175,413,298,30,37.15,2016
"Colima",114,279,88,101,134,247,247,487,276,185,137,8,354.01,2016
"Chiapas",221,121,108,72,132,124,75,62,31,28,11,16,20.87,2016
"Chihuahua",0,0,0,0,0,0,1,0,0,2,0,0,0.09,2016
"Ciudad de México",0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Durango",0,0,0,0,6,0,0,213,632,775,118,16,107.78,2016
"Guanajuato",0,2,2,2,0,0,4,0,0,14,18,2,0.8,2016
"Guerrero",472,600,365,289,451,509,489,678,285,258,101,40,133.88,2016
"Hidalgo",2,6,3,1,1,3,28,17,25,25,9,0,4.5,2016
"Jalisco",261,156,150,109,214,423,407,924,1265,1845,750,63,89.34,2016
"México",15,24,15,39,69,79,76,166,109,176,96,0,5.69,2016
"Michoacán",111,128,90,162,86,107,179,443,454,424,319,51,58.7,2016
"Morelos",153,117,88,0,49,93,210,356,373,589,300,34,132.9,2016
"Nayarit",114,207,101,47,59,47,51,141,170,114,138,18,111.25,2016
"Nuevo León",40,109,43,57,62,72,88,69,305,470,150,22,31.95,2016
"Oaxaca",117,114,99,24,33,47,97,164,65,28,5,10,21.12,2016
"Puebla",33,23,15,9,7,45,35,118,127,79,31,9,9.19,2016
"Querétaro",0,0,0,0,0,0,0,0,0,1,0,0,0.05,2016
"Quintana Roo",99,127,53,71,53,52,113,91,57,29,34,5,59.14,2016
"San Luis Potosí",7,38,24,10,4,9,13,6,7,9,11,4,5.49,2016
"Sinaloa",77,92,25,25,37,19,22,45,340,465,359,31,55.53,2016
"Sonora",37,28,13,16,9,7,9,8,15,33,37,6,8.19,2016
"Tabasco",349,245,115,173,129,138,154,378,244,168,53,49,98.05,2016
"Tamaulipas",52,71,66,55,55,107,121,214,389,149,32,13,40.51,2016
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2016
"Veracruz",269,161,155,97,110,256,664,1662,937,223,96,42,61.13,2016
"Yucatán",31,60,19,36,48,59,46,236,297,198,78,42,58.81,2016
"Zacatecas",0,0,0,3,0,3,38,31,23,35,8,3,9.66,2016
