"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2008
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2008
"Baja California Sur",1,6,2,1,1,6,2,3,6,73,72,36,3790,2008
"Campeche",0,3,1,2,2,1,12,8,11,3,2,1,585,2008
"Coahuila",0,0,0,0,1,1,0,2,17,8,0,0,112,2008
"Colima",39,33,22,71,53,62,69,90,151,501,714,334,36057,2008
"Chiapas",28,12,14,69,101,189,171,200,160,143,45,21,2585,2008
"Chihuahua",0,0,0,0,1,2,0,0,0,0,0,0,9,2008
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2008
"Durango",0,0,0,0,4,3,1,1,1,28,27,0,421,2008
"Guanajuato",0,0,0,0,0,0,0,9,5,0,0,0,28,2008
"Guerrero",96,147,83,104,235,281,307,463,533,532,413,117,10526,2008
"Hidalgo",0,3,8,13,265,147,24,22,11,49,31,6,2403,2008
"Jalisco",25,30,16,7,4,4,21,185,430,483,225,0,2054,2008
"México",0,0,0,0,0,0,0,6,31,17,4,0,40,2008
"Michoacán",102,51,22,78,217,95,100,370,488,441,500,102,6451,2008
"Morelos",31,27,49,74,466,976,1164,975,746,891,509,35,35762,2008
"Nayarit",7,7,5,3,7,23,51,21,39,19,31,92,3154,2008
"Nuevo León",14,104,37,22,26,25,38,77,114,257,89,0,1828,2008
"Oaxaca",47,25,41,68,83,337,230,182,157,100,52,19,3775,2008
"Puebla",5,12,5,18,48,24,88,141,118,121,16,5,1074,2008
"Querétaro",0,0,0,0,0,0,0,0,1,2,0,0,18,2008
"Quintana Roo",64,30,32,70,39,61,36,31,23,18,17,0,3323,2008
"San Luis Potosí",4,4,3,2,3,9,62,73,33,45,21,6,1071,2008
"Sinaloa",11,4,7,8,10,15,8,52,288,537,104,76,4229,2008
"Sonora",0,2,0,0,1,5,3,14,191,578,266,23,4354,2008
"Tabasco",33,34,36,39,47,118,93,120,105,127,87,31,4265,2008
"Tamaulipas",21,10,13,17,27,44,53,81,141,355,194,58,3214,2008
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2008
"Veracruz",237,177,87,57,101,96,210,377,261,292,129,45,2849,2008
"Yucatán",42,24,28,29,19,25,46,52,72,151,61,24,3019,2008
"Zacatecas",0,0,0,0,0,0,0,1,0,1,0,0,15,2008
