"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"Baja California",0,0,0,0,0,1,0,0,0,0,0,0,0.05,1993
"Baja California Sur",1,0,0,1,1,0,0,0,0,1,137,12,43.54,1993
"Campeche",1,0,0,1,2,4,0,0,1,0,0,0,1.56,1993
"Coahuila",0,0,13,0,0,0,0,0,0,0,1,0,0.66,1993
"Colima",1,2,1,2,4,0,3,0,26,31,13,27,23.22,1993
"Chiapas",4,1,6,4,7,6,13,8,126,4,16,2,5.67,1993
"Chihuahua",0,0,11,0,0,0,2,0,0,32,29,1,2.76,1993
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"Durango",0,2,0,0,0,0,0,0,109,161,51,9,22.99,1993
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"Guerrero",0,6,14,7,33,5,22,5,20,11,7,8,4.93,1993
"Hidalgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"Jalisco",2,0,0,0,0,1,0,0,36,14,38,0,1.57,1993
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"Michoacán",28,13,11,12,27,0,1,1,0,0,1,0,2.44,1993
"Morelos",7,0,0,8,6,1,2,3,1,0,0,4,2.4,1993
"Nayarit",20,18,8,21,32,9,18,26,44,28,21,12,28.76,1993
"Nuevo León",0,0,0,0,0,0,0,1,9,85,9,0,3.05,1993
"Oaxaca",7,4,2,3,5,10,16,38,61,50,64,34,9.06,1993
"Puebla",0,0,0,0,0,0,0,0,3,5,0,0,0.18,1993
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"Quintana Roo",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
"SanLuis Potosí",0,0,0,0,0,0,0,0,0,46,5,2,2.44,1993
"Sinaloa",14,10,7,1,22,2,6,14,34,42,38,17,8.72,1993
"Sonora",0,0,0,0,0,0,0,1,2,8,7,1,0.97,1993
"Tabasco",0,0,2,2,3,0,1,0,5,1,1,0,0.92,1993
"Tamaulipas",0,1,0,0,2,0,0,25,32,59,61,25,8.28,1993
"Tlaxcala",0,2,0,0,0,0,0,0,0,0,0,0,0.24,1993
"Veracruz",3,4,3,0,47,23,44,85,153,16,34,51,6.87,1993
"Yucatán",1,1,3,2,1,0,2,4,0,0,5,7,1.77,1993
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1993
