"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,2,22,0,0,2.03,2015
"Baja California",0,2,0,2,0,2,4,10,29,200,108,8,11.57,2015
"Baja California Sur",35,8,1,6,8,8,14,22,73,225,128,43,89.64,2015
"Campeche",147,85,119,107,237,447,322,351,136,91,102,51,266.89,2015
"Coahuila",1,2,2,2,0,4,1,8,8,19,19,1,2.44,2015
"Colima",169,208,282,435,896,1485,755,1252,327,96,107,40,930.28,2015
"Chiapas",144,89,99,146,316,366,194,234,158,184,184,158,47.37,2015
"Chihuahua",0,0,0,0,0,0,0,1,12,12,1,0,0.76,2015
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"Durango",0,0,0,1,2,2,0,19,72,26,4,0,7.72,2015
"Guanajuato",0,0,0,0,0,0,0,0,0,1,2,0,0.05,2015
"Guerrero",395,499,510,386,310,278,365,289,101,55,180,218,105.82,2015
"Hidalgo",0,0,1,2,2,20,9,7,11,8,6,5,2.66,2015
"Jalisco",73,36,25,87,135,371,484,1172,1592,3043,1364,371,119.08,2015
"México",0,0,0,0,0,87,4,40,0,0,0,0,0.86,2015
"Michoacán",59,36,59,110,149,185,685,646,462,359,425,167,76.81,2015
"Morelos",42,39,38,47,97,164,311,219,123,206,134,12,80.57,2015
"Nayarit",33,66,88,153,361,395,493,1554,1489,1761,284,262,639.55,2015
"Nuevo León",18,36,45,70,59,95,71,82,69,143,121,18,17.77,2015
"Oaxaca",123,86,65,90,11,61,184,119,53,48,71,18,24.43,2015
"Puebla",15,28,20,30,61,72,234,347,247,240,131,52,25.55,2015
"Querétaro",0,1,0,1,0,0,0,0,3,0,1,1,0.38,2015
"Quintana Roo",128,121,69,142,127,197,295,360,328,407,299,87,193.12,2015
"San Luis Potosí",6,5,10,15,19,6,13,9,10,15,17,8,5.14,2015
"Sinaloa",93,66,73,66,84,103,44,159,303,334,301,81,61.67,2015
"Sonora",73,28,29,94,103,250,177,183,531,1674,1133,244,169.73,2015
"Tabasco",104,56,100,132,128,120,217,360,299,400,336,128,106.32,2015
"Tamaulipas",8,12,17,45,43,43,50,91,47,95,166,51,20.44,2015
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2015
"Veracruz",90,62,66,105,182,419,1137,1287,926,785,489,147,74.51,2015
"Yucatán",88,44,52,70,74,125,722,1723,818,304,80,40,211.7,2015
"Zacatecas",0,0,0,0,0,29,165,152,250,114,3,0,47.83,2015
