"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"Baja California Sur",0,0,0,0,1,1,0,5,25,39,13,4,17.07,2006
"Campeche",1,0,2,2,5,1,5,15,18,22,10,2,10.53,2006
"Coahuila",0,0,0,0,0,0,0,1,13,110,100,4,8.86,2006
"Colima",43,25,10,2,11,30,31,53,390,425,274,96,232.23,2006
"Chiapas",3,4,14,12,60,77,62,74,77,87,51,16,12,2006
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"Durango",0,0,0,0,0,0,1,1,2,16,101,1,7.82,2006
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"Guerrero",22,18,31,45,99,216,352,450,504,806,660,133,102.03,2006
"Hidalgo",3,1,2,1,1,2,1,6,114,72,9,0,8.8,2006
"Jalisco",0,2,4,0,4,3,34,98,248,387,431,394,23.37,2006
"México",0,0,0,0,0,1,1,1,2,0,2,0,0.05,2006
"Michoacán",6,13,6,9,7,6,21,47,87,104,83,27,9.81,2006
"Morelos",5,3,1,3,15,100,288,428,603,649,290,40,139.7,2006
"Nayarit",17,7,17,30,23,44,40,25,38,79,166,51,53.49,2006
"Nuevo León",0,2,3,2,2,0,14,10,29,25,41,5,3.09,2006
"Oaxaca",85,63,72,101,140,115,334,459,716,477,244,60,76.66,2006
"Puebla",0,0,0,1,16,43,67,49,25,25,2,0,4.08,2006
"Querétaro",0,0,0,0,0,0,0,0,3,85,22,0,6.75,2006
"Quintana Roo",20,7,15,7,14,31,128,253,360,519,277,150,157.62,2006
"San Luis Potosí",0,1,0,0,11,16,20,62,93,65,5,0,11.29,2006
"Sinaloa",5,5,5,4,5,16,24,8,46,132,143,23,14.89,2006
"Sonora",1,1,0,0,0,0,0,2,3,68,10,1,3.41,2006
"Tabasco",2,1,3,1,5,7,15,44,65,21,6,4,8.31,2006
"Tamaulipas",7,8,13,9,10,21,40,11,8,21,3,1,4.72,2006
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
"Veracruz",36,12,14,20,74,226,616,936,1814,2347,801,95,95.57,2006
"Yucatán",3,13,5,3,2,5,11,36,140,175,52,20,25.4,2006
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2006
