"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Baja California Sur",1,3,3,5,6,1,1,1,2,4,2,0,9.21,1988
"Campeche",0,0,1,3,2,56,249,236,45,31,12,10,108.8,1988
"Coahuila",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Colima",46,46,39,48,48,22,22,42,38,27,34,7,99.91,1988
"Chiapas",21,4,13,10,44,75,45,77,68,54,56,25,19.54,1988
"Chihuahua",0,1,0,0,0,0,0,0,0,0,0,1,0.09,1988
"Distrito Federal",0,0,0,0,0,0,0,0,0,1,0,0,0.01,1988
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Guerrero",34,60,59,52,58,90,78,133,57,76,37,80,31.8,1988
"Hidalgo",0,0,0,0,0,0,0,0,0,0,0,1,0.05,1988
"Jalisco",61,9,14,22,5,21,13,33,192,767,612,2980,90.99,1988
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Michoacán",14,25,36,18,12,12,44,48,16,23,31,14,8.68,1988
"Morelos",25,15,2,3,7,3,1,3,0,0,8,0,5.32,1988
"Nayarit",13,5,6,3,23,27,8,15,86,205,108,20,61.34,1988
"Nuevo León",3,0,1,0,1,2,1,4,9,39,186,7,8.04,1988
"Oaxaca",86,41,48,25,61,44,123,85,187,119,119,40,36.91,1988
"Puebla",1,3,3,1,0,8,0,21,20,0,41,0,2.41,1988
"Querétaro",0,0,0,0,1,1,1,1,2,0,0,0,0.63,1988
"Quintana Roo",6,7,13,6,9,11,20,37,52,9,25,9,51.86,1988
"San Luis Potosí",0,0,0,1,0,0,1,0,0,0,0,0,0.1,1988
"Sinaloa",27,17,5,4,0,2,1,11,9,39,141,178,18.33,1988
"Sonora",0,0,0,0,0,0,0,0,0,0,64,0,3.56,1988
"Tabasco",1,0,0,2,0,1,4,3,7,0,1,0,1.46,1988
"Tamaulipas",1,0,0,1,20,4,0,59,23,2,12,3,5.52,1988
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1988
"Veracruz",3,10,10,10,23,28,20,43,45,36,65,3,4.45,1988
"Yucatán",1,2,0,3,0,0,2,13,5,0,8,1,2.69,1988
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,1,0.08,1988
