"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Baja California Sur",1,0,0,0,0,0,0,3,1,0,1,4,1.99,2005
"Campeche",4,4,2,3,8,9,13,16,15,13,4,2,11.99,2005
"Coahuila",0,0,0,0,0,0,0,1,12,70,35,2,4.72,2005
"Colima",0,0,0,10,24,30,31,56,83,78,42,8,61.22,2005
"Chiapas",22,8,6,15,31,126,331,360,369,305,89,12,37.9,2005
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Guerrero",11,12,13,40,70,60,35,137,216,211,169,38,31.04,2005
"Hidalgo",1,0,0,0,1,1,17,85,251,261,65,5,28.75,2005
"Jalisco",1,0,0,0,1,1,2,3,11,32,27,10,1.29,2005
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Michoacán",0,2,5,4,0,3,1,5,1,3,13,0,0.88,2005
"Morelos",0,2,2,1,40,27,20,20,32,49,32,4,13.34,2005
"Nayarit",21,20,12,3,3,3,10,40,74,78,123,21,40.9,2005
"Nuevo León",0,1,1,3,4,4,6,68,179,238,13,0,12.19,2005
"Oaxaca",3,0,1,8,12,40,98,155,197,214,189,102,27.42,2005
"Puebla",0,0,0,0,0,0,0,0,43,3,1,3,0.9,2005
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Quintana Roo",19,11,12,13,32,53,93,161,103,74,74,20,60.93,2005
"San Luis Potosí",0,0,0,0,0,1,6,40,70,42,10,0,7.01,2005
"Sinaloa",11,8,2,2,9,17,35,80,185,192,106,6,23.56,2005
"Sonora",1,2,0,0,1,0,1,3,3,42,17,2,2.9,2005
"Tabasco",4,5,4,7,25,67,66,99,48,32,9,2,17.78,2005
"Tamaulipas",14,0,0,2,22,122,696,1599,1518,1016,235,6,165.31,2005
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
"Veracruz",19,7,7,21,167,247,400,883,1034,728,319,69,53.47,2005
"Yucatán",1,2,1,1,0,2,7,21,27,43,16,2,6.8,2005
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2005
