State,Population
Aguascalientes,862720
Baja California,2112140
Baja California Sur,375494
Campeche,642516
Coahuila de Zaragoza,2173775
Colima,488028
Chiapas,3584786
Chihuahua,2793537
Distrito Federal,8489007
Durango,1431748
Guanajuato,4406568
Guerrero,2916567
Hidalgo,2112473
Jalisco,5991176
México,11707964
Michoacán de Ocampo,3870604
Morelos,1442662
Nayarit,896702
Nuevo León,3550114
Oaxaca,3228895
Puebla,4624365
Querétaro Arteaga,1250476
Quintana Roo,703536
San Luis Potosí,2200763
Sinaloa,2425675
Sonora,2085536
Tabasco,1748769
Tamaulipas,2527328
Tlaxcala,883924
Veracruz,6737324
Yucatán,1556622
Zacatecas,1336496
