"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2009
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2009
"Baja California Sur",30,10,43,9,8,9,6,5,30,69,146,154,101.33,2009
"Campeche",4,0,4,0,1,4,2,18,19,267,342,105,101.49,2009
"Coahuila",0,0,0,0,0,2,0,46,54,332,104,0,21.56,2009
"Colima",470,313,365,412,346,349,379,538,1093,1002,630,582,1140.68,2009
"Chiapas",22,38,44,41,66,100,222,492,720,869,388,79,71.76,2009
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2009
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2009
"Durango",0,0,2,0,0,0,0,0,5,206,80,4,19.68,2009
"Guanajuato",0,0,0,0,0,0,0,0,28,169,0,0,4.03,2009
"Guerrero",108,109,140,228,126,119,246,542,840,1113,1134,524,167.85,2009
"Hidalgo",3,6,2,6,28,139,186,444,264,162,71,8,56.24,2009
"Jalisco",674,633,243,215,135,930,2992,13870,15204,9718,8114,2561,818.84,2009
"México",0,0,1,2,22,30,50,35,41,37,32,11,1.86,2009
"Michoacán",184,189,196,129,163,134,168,637,940,1139,547,314,119.51,2009
"Morelos",51,52,59,64,34,50,77,179,150,186,123,48,66.53,2009
"Nayarit",54,219,163,110,594,650,803,1950,3990,1431,66,34,1059.72,2009
"Nuevo León",4,10,23,7,15,13,15,32,44,238,173,38,14.57,2009
"Oaxaca",16,42,41,59,60,89,223,231,474,551,246,159,62.48,2009
"Puebla",3,4,19,21,34,27,83,200,111,39,44,10,11.05,2009
"Querétaro",0,1,1,0,0,0,0,0,2,21,11,0,2.25,2009
"Quintana Roo",11,8,32,41,40,61,20,52,123,175,140,87,69.58,2009
"San Luis Potosí",15,28,11,29,29,132,344,719,735,745,398,137,137.82,2009
"Sinaloa",218,114,100,94,90,50,80,108,236,767,522,60,93.5,2009
"Sonora",34,18,40,40,18,17,18,14,20,89,121,27,19.04,2009
"Tabasco",39,74,46,88,75,70,405,1712,1704,1154,382,61,291.96,2009
"Tamaulipas",27,17,24,34,57,41,78,80,85,247,347,76,36.8,2009
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2009
"Veracruz",174,139,125,159,195,308,773,2354,2717,1942,795,224,139.31,2009
"Yucatán",45,29,39,43,45,108,72,165,619,1186,772,405,193.96,2009
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2009
