"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",1,0,0,0,0,0,0,0,0,0,0,0,0.12,1995
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1995
"Baja California Sur",2,1,2,4,1,0,0,0,6,8,8,1,8.58,1995
"Campeche",85,17,1,2,4,12,7,11,7,13,16,63,37.8,1995
"Coahuila",0,0,0,0,0,0,0,0,31,548,492,95,53.52,1995
"Colima",28,24,35,22,11,8,12,25,98,87,134,35,109.78,1995
"Chiapas",14,5,2,2,10,15,15,33,151,236,56,3,14.7,1995
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,1995
"Distrito Federal",0,0,0,1,1,1,0,0,0,1,0,1,0.06,1995
"Durango",0,0,0,0,0,0,0,0,13,51,0,0,4.48,1995
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1995
"Guerrero",49,37,20,24,5,13,9,19,51,297,159,8,24.01,1995
"Hidalgo",0,0,0,0,0,0,1,0,2,12,1,2,0.85,1995
"Jalisco",0,0,0,0,0,0,0,11,48,54,4,0,1.9,1995
"México",0,0,0,0,0,0,1,0,1,0,2,0,0.03,1995
"Michoacán",0,0,0,1,0,0,6,12,0,12,24,4,1.53,1995
"Morelos",4,0,1,10,49,27,45,45,40,35,22,17,21.48,1995
"Nayarit",30,14,8,4,292,29,8,6,126,114,8,5,72.5,1995
"Nuevo León",3,0,0,4,0,0,0,1,28,486,586,73,34.16,1995
"Oaxaca",119,43,21,10,12,65,73,85,269,416,227,104,42.78,1995
"Puebla",0,0,0,2,0,0,0,0,9,7,0,1,0.4,1995
"Querétaro",1,0,0,0,0,0,0,0,0,0,0,0,0.08,1995
"Quintana Roo",4,0,1,0,0,0,0,0,1,0,1,1,1.19,1995
"SanLuis Potosí",0,0,0,0,0,0,351,240,899,1305,200,155,141.96,1995
"Sinaloa",53,24,14,4,5,4,9,241,4151,5236,557,83,435.54,1995
"Sonora",0,0,0,0,0,0,0,0,5,24,0,0,1.42,1995
"Tabasco",19,7,2,5,8,0,2,58,167,108,188,109,39.68,1995
"Tamaulipas",27,5,9,6,3,3,138,1117,1784,2348,1483,650,302.08,1995
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1995
"Veracruz",136,66,73,40,42,411,249,236,1552,2976,867,276,99.68,1995
"Yucatán",102,22,10,9,12,2,2,22,46,18,5,0,16.55,1995
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1995
