"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2007
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2007
"Baja California Sur",2,0,1,1,0,2,1,4,8,10,4,0,6.14,2007
"Campeche",5,4,13,18,16,15,5,20,59,36,23,3,27.91,2007
"Coahuila",1,2,0,0,0,0,2,34,191,447,130,6,31.59,2007
"Colima",105,68,75,29,32,27,35,82,90,101,89,44,132.72,2007
"Chiapas",30,29,33,57,364,469,257,283,320,220,152,11,50.43,2007
"Chihuahua",0,0,0,0,0,0,0,1,0,0,0,0,0.03,2007
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2007
"Durango",0,5,7,19,21,13,86,28,21,70,56,3,21.39,2007
"Guanajuato",0,0,0,0,1,1,6,8,200,400,20,0,12.73,2007
"Guerrero",204,134,147,175,176,221,379,365,571,486,348,86,104.52,2007
"Hidalgo",0,0,0,0,0,0,0,1,10,17,10,6,1.84,2007
"Jalisco",224,126,35,2,10,2,8,56,112,201,93,0,12.59,2007
"México",0,0,0,3,2,7,5,1,7,8,11,0,0.31,2007
"Michoacán",39,41,22,12,23,26,38,85,282,1224,338,167,57.55,2007
"Morelos",11,13,14,4,21,108,163,185,214,242,118,26,67.88,2007
"Nayarit",19,32,19,8,31,72,120,180,175,265,81,31,107.13,2007
"Nuevo León",5,17,11,34,45,53,85,724,1360,367,33,0,63.04,2007
"Oaxaca",49,50,84,97,138,334,631,922,1163,807,177,13,125.67,2007
"Puebla",2,2,2,4,16,12,12,62,101,68,25,1,5.54,2007
"Querétaro",0,0,1,1,1,0,0,0,1,2,0,2,0.48,2007
"Quintana Roo",473,337,333,272,288,264,229,334,457,331,188,39,290.36,2007
"San Luis Potosí",0,0,8,1,7,6,8,7,34,128,33,11,9.87,2007
"Sinaloa",10,11,9,11,19,6,7,11,37,262,140,23,20.65,2007
"Sonora",1,0,0,1,1,0,2,1,0,3,5,0,0.57,2007
"Tabasco",5,9,9,19,21,39,88,190,501,450,281,83,83.54,2007
"Tamaulipas",2,1,4,15,11,15,68,220,260,581,203,32,45.31,2007
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2007
"Veracruz",49,51,83,180,288,435,774,1830,3016,3568,1947,387,174.09,2007
"Yucatán",51,44,70,42,42,55,66,140,317,325,252,70,78.65,2007
"Zacatecas",0,0,0,0,0,0,0,0,0,156,0,0,11.28,2007
