"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"Baja California",0,0,1,0,1,0,0,0,0,0,3,11,0.51,2014
"Baja California Sur",117,25,28,14,50,70,176,983,1494,2543,983,158,1042.5,2014
"Campeche",36,47,49,39,23,82,83,118,94,70,60,24,88.15,2014
"Coahuila",0,1,0,1,0,3,6,34,73,76,18,1,7.75,2014
"Colima",72,51,46,33,37,106,173,142,155,226,139,60,190.61,2014
"Chiapas",48,52,79,57,129,140,173,199,261,312,276,101,38.09,2014
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"Durango",0,0,0,0,1,0,12,19,4,2,4,0,2.57,2014
"Guanajuato",0,0,0,0,0,3,5,1,0,0,0,0,0.16,2014
"Guerrero",128,110,102,102,151,277,289,335,247,285,316,148,73.48,2014
"Hidalgo",0,1,2,4,3,1,12,9,7,6,3,1,1.84,2014
"Jalisco",131,120,82,42,87,135,157,324,427,409,219,29,29.41,2014
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"Michoacán",39,31,30,15,18,61,154,130,149,178,75,18,20.64,2014
"Morelos",26,22,35,20,27,119,158,239,241,178,106,26,67.35,2014
"Nayarit",19,35,70,48,91,64,25,42,92,87,16,3,54.56,2014
"Nuevo León",79,91,148,119,187,112,99,122,110,131,56,1,26.97,2014
"Oaxaca",76,56,49,51,116,262,393,531,700,549,227,96,81.69,2014
"Puebla",6,21,26,23,55,100,92,122,115,170,49,5,13.56,2014
"Querétaro",0,0,1,0,0,0,1,1,1,1,1,0,0.33,2014
"Quintana Roo",61,72,52,30,28,48,60,60,41,97,122,43,53.86,2014
"San Luis Potosí",18,7,16,8,20,25,60,25,24,24,13,6,9.51,2014
"Sinaloa",255,274,300,162,308,289,293,946,1348,1543,916,109,243.63,2014
"Sonora",137,51,24,57,103,103,75,245,460,3601,4086,714,362.67,2014
"Tabasco",38,21,34,15,36,35,52,42,53,64,33,13,19.48,2014
"Tamaulipas",10,10,4,13,31,57,113,94,99,237,109,16,24.26,2014
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2014
"Veracruz",75,52,46,56,101,132,324,563,542,576,305,127,37.93,2014
"Yucatán",193,162,70,28,34,128,113,128,145,179,135,38,69.19,2014
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2014
