"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,1,0,0.14,1989
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1989
"Baja California Sur",1,0,0,2,1,1,1,4,1,27,33,11,25.05,1989
"Campeche",1,1,2,3,20,4,3,1,2,3,3,1,7.18,1989
"Coahuila",0,0,0,0,0,0,0,0,0,0,0,0,0,1989
"Colima",4,15,28,16,20,12,16,16,48,44,39,18,64.76,1989
"Chiapas",25,28,32,34,37,48,69,60,36,59,53,19,19.54,1989
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,1,0.04,1989
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1989
"Durango",0,0,0,0,0,0,0,0,0,0,2,0,0.14,1989
"Guanajuato",0,0,0,0,0,0,0,0,0,2,7,0,0.25,1989
"Guerrero",80,45,57,29,45,26,48,39,45,67,51,27,21.46,1989
"Hidalgo",1,0,0,0,7,6,12,179,131,53,1,0,21.11,1989
"Jalisco",8,17,1,2,0,140,42,59,34,86,54,13,8.65,1989
"México",0,1,0,0,0,1,1,0,0,0,0,0,0.02,1989
"Michoacán",13,13,8,4,2,2,1,3,0,5,25,3,2.31,1989
"Morelos",0,1,0,1,1,0,0,1,3,1,0,0,0.62,1989
"Nayarit",12,5,16,22,21,15,25,103,71,205,39,15,64.04,1989
"Nuevo León",1,0,0,1,1,0,1,6,10,28,90,11,4.65,1989
"Oaxaca",24,34,24,52,39,39,46,83,112,167,120,18,28.4,1989
"Puebla",22,9,4,17,8,33,2,37,5,13,15,33,4.78,1989
"Querétaro",0,0,1,1,0,0,0,0,0,0,0,0,0.2,1989
"Quintana Roo",1,8,4,26,2,6,3,8,3,1,2,4,16.42,1989
"San Luis Potosí",0,0,0,0,0,0,0,49,50,100,64,3,12.94,1989
"Sinaloa",13,20,4,7,1,1,10,2,46,210,337,174,34.02,1989
"Sonora",0,0,0,0,0,0,0,0,0,0,1,0,0.05,1989
"Tabasco",0,1,3,2,2,2,0,2,1,5,1,43,4.69,1989
"Tamaulipas",4,0,0,0,0,0,1,1,0,3,319,43,16.17,1989
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1989
"Veracruz",8,6,10,25,18,30,11,86,523,276,389,68,21.33,1989
"Yucatán",0,0,7,0,0,0,0,0,4,0,0,0,0.83,1989
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1989
