State,Population
Aguascalientes,719659
Baja California,1660855
Baja California Sur,317764
Campeche,535185
Coahuila de Zaragoza,1972340
Colima,428510
Chiapas,3210496
Chihuahua,2441873
Distrito Federal,8235744
Durango,1349378
Guanajuato,3982593
Guerrero,2620637
Hidalgo,1888366
Jalisco,5302689
México,9815795
Michoacán,3548199
Morelos,1195059
Nayarit,824643
Nuevo León,3098736
Oaxaca,3019560
Puebla,4126101
Querétaro,1051235
Quintana Roo,493277
San Luis Potosí,2003187
Sinaloa,2204054
Sonora,1823606
Tabasco,1501744
Tamaulipas,2249581
Tlaxcala,761277
Veracruz,6228239
Yucatán,1362940
Zacatecas,1276323
