"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,2,0,0,0,0,0,0.17,2013
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"Baja California Sur",37,17,15,3,1,4,19,69,527,1659,1764,576,736.39,2013
"Campeche",26,22,17,32,59,118,99,198,173,209,101,40,133.02,2013
"Coahuila",2,0,1,3,1,3,1,10,112,610,171,0,33.26,2013
"Colima",200,171,90,145,200,197,252,1007,679,786,714,151,705.86,2013
"Chiapas",60,75,68,113,176,309,319,458,426,490,275,54,58.85,2013
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"Durango",0,0,0,1,0,0,0,0,0,0,0,0,0.06,2013
"Guanajuato",0,0,0,0,0,0,0,15,50,9,0,0,1.35,2013
"Guerrero",383,329,191,125,161,187,266,407,544,771,363,102,112.99,2013
"Hidalgo",0,3,2,4,12,36,137,336,108,115,38,1,29.72,2013
"Jalisco",64,62,70,81,122,327,291,653,903,1429,752,236,67.88,2013
"México",20,25,0,0,0,0,5,5,11,0,0,0,0.43,2013
"Michoacán",208,136,133,54,78,120,157,144,200,267,158,40,38.96,2013
"Morelos",23,35,12,8,137,870,1558,1729,1603,812,41,22,385.43,2013
"Nayarit",0,45,0,394,1291,182,228,1245,2688,2050,1927,394,962.6,2013
"Nuevo León",101,77,83,152,168,210,292,548,857,1858,650,106,109.64,2013
"Oaxaca",114,101,54,75,96,223,369,627,428,513,381,91,80.8,2013
"Puebla",59,58,60,62,104,273,510,301,99,192,54,17,30.95,2013
"Querétaro",0,0,0,0,0,0,1,2,2,8,1,0,0.77,2013
"Quintana Roo",178,189,214,181,217,296,431,969,718,570,434,118,340.61,2013
"San Luis Potosí",33,39,29,42,29,35,98,132,222,255,87,29,39.84,2013
"Sinaloa",94,31,27,29,65,73,87,222,675,1161,343,124,105.9,2013
"Sonora",28,11,11,11,8,0,20,22,191,703,297,82,51.98,2013
"Tabasco",145,251,486,901,1749,1908,2110,2025,1820,866,241,54,560.89,2013
"Tamaulipas",135,140,126,106,324,3501,6228,3317,2214,2002,851,87,582.25,2013
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2013
"Veracruz",153,130,117,146,253,467,1163,2336,1697,1560,659,161,115.68,2013
"Yucatán",93,76,59,48,95,149,238,394,423,549,491,233,145.63,2013
"Zacatecas",0,0,0,0,0,0,0,0,0,1,1,0,0.13,2013
