"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,2,0,0,0,0,0,0.17,2010
"Baja California",0,0,1,0,0,1,1,2,2,2,0,0,0.29,2010
"Baja California Sur",105,48,32,59,64,61,92,137,181,498,491,178,305.48,2010
"Campeche",90,55,29,40,31,50,196,405,116,114,30,8,141.53,2010
"Coahuila",0,0,0,2,3,3,8,14,26,26,3,0,3.09,2010
"Colima",354,200,116,82,39,44,45,68,105,59,25,14,176.93,2010
"Chiapas",37,42,19,43,86,218,125,124,72,49,22,13,17.72,2010
"Chihuahua",0,0,0,0,0,0,2,0,0,0,0,0,0.06,2010
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"Durango",0,0,0,1,0,0,0,1,7,5,4,0,1.1,2010
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"Guerrero",436,464,427,446,370,507,674,1091,1063,100,108,51,169.29,2010
"Hidalgo",1,1,1,8,4,2,3,6,7,11,1,0,1.69,2010
"Jalisco",284,199,143,85,82,129,135,178,241,170,75,9,23.54,2010
"México",1,0,1,1,8,10,0,13,7,0,0,0,0.27,2010
"Michoacán",199,175,133,115,80,111,57,178,252,233,148,34,39.42,2010
"Morelos",22,10,28,25,51,90,139,210,294,408,170,39,83.61,2010
"Nayarit",71,28,35,71,305,220,236,349,170,143,14,0,151.34,2010
"Nuevo León",10,29,45,54,123,124,174,394,436,545,277,44,48.46,2010
"Oaxaca",200,136,138,304,377,639,525,648,319,184,42,17,92.82,2010
"Puebla",10,13,20,20,36,112,258,322,241,158,31,6,21.23,2010
"Querétaro",0,0,0,1,0,0,0,0,0,0,0,0,0.05,2010
"Quintana Roo",228,300,150,194,135,228,452,214,80,36,22,14,154.88,2010
"San Luis Potosí",13,9,19,28,36,22,24,45,63,48,7,1,12.18,2010
"Sinaloa",71,27,25,27,43,55,113,130,153,295,146,6,39.42,2010
"Sonora",28,16,3,3,15,13,39,49,524,2044,1247,149,155.12,2010
"Tabasco",24,52,16,22,25,26,46,71,102,83,13,8,21.8,2010
"Tamaulipas",53,14,37,25,17,15,73,269,204,118,1,0,25.27,2010
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2010
"Veracruz",24,15,31,10,32,63,54,230,244,184,89,28,13.14,2010
"Yucatán",187,101,35,30,27,52,245,439,334,423,258,67,112.4,2010
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2010
