"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Baja California Sur",0,0,0,0,0,1,1,0,0,0,0,0,0.41,2004
"Campeche",2,0,0,0,0,0,0,1,1,9,13,0,3.41,2004
"Coahuila",0,0,0,0,0,0,0,3,0,0,0,0,0.12,2004
"Colima",0,0,0,1,2,1,0,1,0,0,0,1,1.03,2004
"Chiapas",1,4,3,6,3,24,20,42,39,101,120,23,8.86,2004
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Guerrero",5,0,5,6,10,16,25,57,51,48,41,6,8.31,2004
"Hidalgo",0,0,0,0,0,0,0,1,53,46,14,6,5.06,2004
"Jalisco",0,0,0,0,0,0,0,1,2,18,8,1,0.44,2004
"México",0,0,0,0,0,4,9,2,0,14,0,0,0.2,2004
"Michoacán",4,0,3,10,2,7,17,15,6,4,22,0,2.14,2004
"Morelos",0,0,0,0,0,3,4,17,19,11,3,0,3.36,2004
"Nayarit",0,0,5,13,1,7,13,58,32,13,5,6,15.44,2004
"Nuevo León",4,3,4,1,2,4,1,0,4,7,3,3,0.86,2004
"Oaxaca",0,0,0,1,2,6,18,66,42,12,0,0,3.98,2004
"Puebla",0,0,0,5,2,3,2,2,12,1,0,0,0.49,2004
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Quintana Roo",18,9,9,11,17,14,26,25,34,28,21,27,22.7,2004
"San Luis Potosí",0,0,0,0,0,0,0,0,1,1,0,0,0.08,2004
"Sinaloa",7,3,2,6,7,6,9,21,29,26,5,1,4.44,2004
"Sonora",6,0,2,1,8,2,0,2,1,3,0,0,1.02,2004
"Tabasco",0,1,1,0,0,0,3,5,12,27,20,4,3.57,2004
"Tamaulipas",0,1,0,1,1,0,1,3,7,25,37,23,3.19,2004
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
"Veracruz",28,9,5,11,26,90,528,1655,639,683,493,83,58.42,2004
"Yucatán",2,4,2,3,3,1,5,5,3,17,5,1,2.86,2004
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2004
