"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Baja California Sur",3,20,3,9,8,9,1,4,1,5,6,6,24.8,1987
"Campeche",0,5,4,11,6,4,9,16,22,24,26,15,24.8,1987
"Coahuila",0,0,0,0,0,0,0,0,1,0,0,0,0.1,1987
"Colima",42,15,8,22,15,14,14,42,107,139,213,209,203.7,1987
"Chiapas",4,6,2,5,6,6,43,34,75,79,28,57,13.9,1987
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Guanajuato",0,0,0,0,3,0,0,0,0,0,0,0,0.1,1987
"Guerrero",24,47,46,51,7,44,70,136,281,241,237,164,53.6,1987
"Hidalgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Jalisco",8,9,9,14,9,91,132,384,549,338,295,89,37.6,1987
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Michoacán",34,5,4,0,1,12,0,16,22,25,66,45,6.9,1987
"Morelos",0,0,16,3,0,4,19,36,164,231,130,23,51,1987
"Nayarit",24,13,4,78,27,168,400,236,571,220,365,549,318,1987
"Nuevo León",2,2,9,0,0,2,2,9,43,490,25,15,19.4,1987
"Oaxaca",347,90,26,21,38,32,65,84,1049,597,707,244,125.5,1987
"Puebla",7,29,20,8,5,7,3,16,29,31,30,5,4.8,1987
"Queretaro",0,0,0,0,0,0,1,0,1,1,2,1,0.6,1987
"Quintana Roo",3,4,1,1,3,2,4,14,9,12,2,3,15.6,1987
"San Luis Potosi",0,1,2,2,1,3,0,1,0,0,0,0,0.5,1987
"Sinaloa",43,19,36,0,3,4,11,8,28,13,159,154,20.7,1987
"Sonora",0,0,0,0,0,0,0,4,0,0,0,0,0.2,1987
"Tabasco",26,7,2,0,4,8,12,32,27,10,6,2,10.7,1987
"Tamaulipas",0,2,0,1,3,1,2,0,2,2,1,0,0.6,1987
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1987
"Veracrúz",9,20,2,9,65,9,29,12,51,81,19,13,4.9,1987
"Yucatán",0,1,0,3,0,1,0,1,5,0,0,3,1.1,1987
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,51,4.1,1987
