"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Baja California Sur",0,1,0,1,0,0,4,3,2,125,249,56,125.1,1991
"Campeche",0,0,1,0,2,1,4,1,10,10,1,1,4.74,1991
"Coahuila",2,0,0,0,4,0,6,0,0,0,0,0,0.6,1991
"Colima",4,4,1,1,5,2,0,4,4,4,5,2,8.19,1991
"Chiapas",47,18,10,31,41,14,44,8,33,40,16,2,11.52,1991
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Distrito Federal",1,0,0,0,0,0,0,0,0,0,0,0,0.01,1991
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Guanajuato",1,0,0,0,0,0,0,0,0,0,0,0,0.03,1991
"Guerrero",22,19,7,20,15,8,18,14,43,21,16,13,8.02,1991
"Hidalgo",0,0,0,0,5,0,0,0,0,0,0,0,0.26,1991
"Jalisco",13,10,24,0,23,8,7,3,26,31,26,8,3.31,1991
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Michoacán",19,21,10,16,17,6,9,4,3,22,12,13,4.33,1991
"Morelos",0,0,2,1,1,0,1,1,0,0,0,0,0.45,1991
"Nayarit",41,20,32,13,13,66,22,23,148,100,181,147,91.63,1991
"Nuevo León",13,1,3,0,1,0,1,1,10,37,5,16,2.67,1991
"Oaxaca",59,47,14,13,15,26,25,332,427,291,141,46,53.11,1991
"Puebla",13,17,4,5,352,18,5,0,0,8,5,0,9.98,1991
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Quintana Roo",0,0,0,0,0,9,75,12,0,0,3,0,21.71,1991
"SanLuis Potosí",6,1,2,4,2,2,0,0,4,13,2,0,1.69,1991
"Sinaloa",242,49,47,34,41,22,47,18,49,95,106,84,32.81,1991
"Sonora",0,0,0,0,0,0,0,0,0,0,5,0,0.26,1991
"Tabasco",1,1,7,1,0,0,1,12,26,21,11,2,6.07,1991
"Tamaulipas",20,10,12,12,6,5,2,0,8,11,1,0,3.71,1991
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
"Veracruz",2,5,1,1,4,18,11,34,60,160,18,0,4.43,1991
"Yucatán",0,0,0,0,0,0,0,7,48,124,62,23,19.16,1991
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1991
