"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,1,0,0,0,0.11,1998
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1998
"Baja California Sur",7,83,3,1,5,5,2,5,10,41,14,9,43.96,1998
"Campeche",45,13,17,16,28,17,43,26,53,20,11,3,43.1,1998
"Coahuila",0,0,0,0,3,2,2,1,1,20,3,1,1.45,1998
"Colima",52,39,19,23,26,34,61,50,88,126,41,13,115.49,1998
"Chiapas",16,6,6,3,9,7,21,11,2,0,25,13,3.03,1998
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,1998
"Distrito Federal",0,0,0,1,0,0,0,0,0,1,0,0,0.03,1998
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,1998
"Guanajuato",1,0,0,0,0,0,0,0,0,0,0,0,0.02,1998
"Guerrero",40,36,16,16,14,17,20,49,100,32,14,10,12.34,1998
"Hidalgo",0,0,1,0,0,0,0,6,3,8,0,6,1.09,1998
"Jalisco",0,1,4,1,5,1,0,0,0,0,0,0,0.18,1998
"México",0,0,0,0,0,0,0,0,4,10,3,9,0.2,1998
"Michoacán",2,0,5,1,0,0,4,17,14,1,2,0,1.17,1998
"Morelos",15,12,7,3,2,2,95,75,399,858,260,66,122.99,1998
"Nayarit",0,0,0,0,1,4,0,5,4,10,3,1,3.07,1998
"Nuevo León",5,2,1,1,6,5,31,10,92,1797,1301,360,98.84,1998
"Oaxaca",32,51,25,32,17,16,37,741,727,863,197,49,79.59,1998
"Puebla",0,0,0,0,0,0,0,1,19,15,34,1,1.38,1998
"Querétaro",0,0,0,0,0,0,0,1,0,0,0,0,0.08,1998
"Quintana Roo",10,7,7,2,4,11,6,26,10,1,1,1,11.12,1998
"San Luis Potosí",0,27,6,0,0,6,290,906,174,702,47,0,93.33,1998
"Sinaloa",1,3,0,5,2,6,12,26,192,471,222,34,39.42,1998
"Sonora",0,0,0,0,0,0,0,0,9,66,56,2,6.15,1998
"Tabasco",21,18,32,37,15,23,53,153,624,429,155,39,88.91,1998
"Tamaulipas",66,33,29,145,20,12,16,84,802,2595,1404,667,221.69,1998
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1998
"Veracruz",50,43,92,77,61,57,144,243,562,578,383,160,33.66,1998
"Yucatán",0,0,0,0,0,4,5,2,0,13,1,1,1.64,1998
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1998
