"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Baja California Sur",0,0,0,0,0,0,0,0,0,1,0,0,0.24,2001
"Campeche",0,0,0,0,0,0,0,12,28,13,0,0,7.33,2001
"Coahuila",0,0,0,0,0,0,0,0,0,0,0,1,0.04,2001
"Colima",0,0,0,0,0,0,0,0,0,0,2,0,0.36,2001
"Chiapas",3,6,11,1,14,22,20,41,80,119,23,31,9.01,2001
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Guerrero",0,0,0,0,1,22,31,67,145,184,61,10,16.17,2001
"Hidalgo",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Jalisco",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"México",1,0,0,0,0,0,2,23,1,8,0,2,0.28,2001
"Michoacán",0,0,0,0,0,0,2,14,25,0,0,0,0.95,2001
"Morelos",0,0,0,0,0,0,0,1,7,3,3,0,0.86,2001
"Nayarit",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Nuevo León",0,1,0,2,2,4,0,0,2,2,1,0,0.36,2001
"Oaxaca",0,0,1,2,5,7,8,82,66,174,79,22,12.3,2001
"Puebla",0,0,0,3,0,0,0,0,19,13,0,0,0.67,2001
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Quintana Roo",0,0,0,0,1,2,6,21,151,101,3,6,34.59,2001
"San Luis Potosi",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Sinaloa",0,1,2,1,0,2,3,4,2,6,155,9,7.36,2001
"Sonora",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Tabasco",1,0,0,1,2,1,3,11,27,24,12,6,4.47,2001
"Tamaulipas",2,1,1,3,11,4,2,4,2,12,4,1,1.69,2001
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
"Veracruz",3,15,6,6,62,157,142,222,292,649,386,304,31.35,2001
"Yucatán",0,0,0,0,0,0,14,144,57,15,17,5,14.81,2001
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,2001
