"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Baja California Sur",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Campeche",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Coahuila",0,0,0,0,98,65,65,32,33,651,98,33,45.7,1999
"Colima",3,2,1,1,1,2,3,3,5,6,2,1,5.6,1999
"Chiapas",104,39,39,20,59,45,137,72,13,0,163,85,19.4,1999
"Chihuahua",0,0,0,0,0,0,0,0,0,1,0,0,0,1999
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Durango",0,0,0,0,0,0,0,0,0,0,5,0,0.3,1999
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Guerrero",7,6,3,3,2,3,3,8,17,6,2,2,2,1999
"Hidalgo",0,0,0,0,0,0,0,2,1,2,0,1,0.3,1999
"Jalisco",0,4,16,4,21,4,0,0,0,0,0,0,0.8,1999
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Michoacán",0,0,0,0,0,0,1,1,1,0,0,0,0.1,1999
"Morelos",1,1,1,0,0,0,6,5,25,54,16,4,7.2,1999
"Nayarit",0,0,0,0,1,4,0,4,4,9,3,1,2.7,1999
"Nuevo León",6,6,5,5,25,492,505,549,2466,6295,1003,121,301.3,1999
"Oaxaca",3,4,2,3,2,1,3,63,62,74,17,4,6.7,1999
"Puebla",0,0,0,0,0,0,0,2,35,27,62,2,2.5,1999
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Quintana Roo",3,2,2,1,1,4,2,9,3,1,0,0,3.5,1999
"San Luis Potosí",0,1,0,0,0,0,15,45,9,35,3,0,4.5,1999
"Sinaloa",0,1,0,1,1,2,3,7,53,129,61,9,10.7,1999
"Sonora",0,0,0,0,0,0,0,0,36,267,227,8,24.3,1999
"Tabasco",6,5,9,10,4,6,15,42,171,118,42,11,23,1999
"Tamaulipas",59,30,26,130,18,11,14,75,719,2327,1259,598,195.1,1999
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
"Veracruz",47,40,87,72,57,54,135,228,529,544,360,151,32.7,1999
"Yucatán",0,0,0,0,0,6,8,3,0,21,2,2,2.5,1999
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1999
