"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1986
"Baja California",0,0,0,0,0,0,0,0,0,0,0,72,4.9,1986
"Baja California Sur",0,7,0,7,1,7,57,44,96,107,253,96,242,1986
"Campeche",3,1,0,0,1,0,0,1,0,1,3,17,5,1986
"Coahuila",0,0,0,0,0,0,0,1,4,6,7,0,1,1986
"Colima",31,33,28,40,22,5,14,19,84,225,266,205,230.2,1986
"Chiapas",12,3,3,13,1,20,46,47,16,27,13,7,8.7,1986
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,1986
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1986
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,1986
"Guanajuato",0,0,0,0,0,0,0,0,0,1,0,0,0,1986
"Guerrero",1,0,6,1,11,8,40,3,0,43,137,138,15.8,1986
"Hidalgo",0,0,0,0,0,0,0,0,24,11,1,0,1.9,1986
"Jalisco",28,13,4,14,12,0,0,44,60,323,372,113,19.3,1986
"México",0,0,0,0,0,0,0,0,0,3,0,0,0,1986
"Michoacán",23,27,12,14,16,5,6,22,36,52,59,0,8.5,1986
"Morelos",0,0,0,2,3,0,0,0,0,2,4,0,0.9,1986
"Nayarit",0,4,0,3,1,11,25,39,74,270,232,415,125.6,1986
"Nuevo León",83,2,2,0,5,0,2,0,43,202,1284,413,64.6,1986
"Oaxaca",63,1,1,1,0,2,0,2,5,279,92,189,24.7,1986
"Puebla",9,5,4,0,0,22,344,364,2117,481,0,59,88.7,1986
"Querétaro",0,0,0,0,0,0,1,0,28,10,0,13,5.8,1986
"Quintana Roo",1,4,6,3,4,3,1,1,7,6,0,0,10.4,1986
"San Luis Potosí",5,0,0,3,0,0,2,1,78,38,74,12,11.3,1986
"Sinaloa",33,12,1,13,31,28,38,39,147,243,117,129,36.4,1986
"Sonora",0,0,0,15,8,6,0,88,0,44,0,0,8.9,1986
"Tabasco",6,1,5,4,3,2,8,5,23,11,12,5,6.5,1986
"Tamaulipas",0,0,0,0,0,0,2,0,0,243,8,8,11.5,1986
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1986
"Veracruz",16,13,26,15,18,52,310,993,3353,1998,357,68,112,1986
"Yucatán",4,4,0,2,3,6,4,0,4,4,3,0,2.8,1986
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1986
