"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1996
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1996
"Baja California Sur",5,1,0,0,1,2,2,3,8,8,4,2,9.08,1996
"Campeche",5,1,1,3,5,12,14,6,42,29,51,19,29.12,1996
"Coahuila",4,0,0,1,0,7,1,5,131,276,102,15,24.48,1996
"Colima",55,41,41,22,22,60,154,297,524,1049,626,161,635.33,1996
"Chiapas",10,12,15,27,44,50,27,17,69,78,49,16,10.99,1996
"Chihuahua",0,0,0,0,0,0,0,0,1,0,0,0,0.03,1996
"Distrito Federal",6,0,0,0,0,0,0,0,0,0,0,1,0.09,1996
"Durango",0,0,0,0,0,NA,0,NA,0,0,0,0,0,1996
"Guanajuato",0,0,0,0,0,0,1,2,0,0,0,0,0.07,1996
"Guerrero",11,12,12,11,5,9,10,8,47,62,20,11,7.51,1996
"Hidalgo",1,0,0,0,0,0,0,0,1,5,5,0,0.56,1996
"Jalisco",0,1,0,1,0,0,0,0,6,69,165,42,4.51,1996
"México",0,0,0,0,0,0,2,0,6,0,0,0,0.06,1996
"Michoacán",7,11,39,12,6,0,1,16,6,25,31,10,4.23,1996
"Morelos",18,1,6,7,17,6,6,41,12,12,27,3,11.13,1996
"Nayarit",1,1,2,4,0,2,7,24,31,421,28,3,58.41,1996
"Nuevo León",10,2,0,11,9,14,1,17,252,1599,1146,160,91.42,1996
"Oaxaca",49,19,10,10,14,9,25,172,85,76,35,24,15.44,1996
"Puebla",3,4,0,2,0,0,0,0,2,4,0,2,0.35,1996
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,1996
"Quintana Roo",0,0,1,0,0,0,0,0,22,36,38,3,14.17,1996
"SanLuis Potosí",0,0,0,1,0,1,1,3,17,341,261,4,27.94,1996
"Sinaloa",11,19,10,8,6,25,69,104,131,438,101,7,38.5,1996
"Sonora",0,0,0,0,0,0,0,73,924,5431,690,8,341.62,1996
"Tabasco",39,24,18,7,13,38,72,62,430,462,173,56,80.56,1996
"Tamaulipas",85,21,63,85,44,100,195,225,2130,3427,1038,237,299.45,1996
"Tlaxcala",1,0,0,0,0,0,0,0,0,0,0,0,0.11,1996
"Veracruz",63,46,11,89,25,29,80,1382,3009,1920,612,162,105.22,1996
"Yucatán",43,17,10,4,1,4,1,13,62,134,113,48,29.3,1996
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1996
