"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1997
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1997
"Baja California Sur",5,1,1,0,0,0,0,0,0,781,594,192,385.17,1997
"Campeche",14,38,22,34,42,312,997,854,1436,918,248,89,756.37,1997
"Coahuila",4,0,0,1,16,40,15,2,6,26,3,8,5.38,1997
"Colima",71,54,40,68,71,197,291,1136,1147,811,408,153,911.46,1997
"Chiapas",12,24,8,24,13,26,64,99,300,297,132,27,26.66,1997
"Chihuahua",0,0,0,0,0,0,0,0,0,0,0,0,0,1997
"Distrito Federal",0,0,1,0,0,0,3,2,3,0,0,1,0.12,1997
"Durango",0,0,0,0,0,0,0,0,3,418,98,0,35.91,1997
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1997
"Guerrero",15,6,5,9,12,64,820,2541,2264,1373,738,309,278.57,1997
"Hidalgo",0,0,0,0,0,0,0,0,0,0,0,0,0,1997
"Jalisco",1,2,0,0,0,0,37,48,143,1224,388,27,29.19,1997
"México",0,0,0,1,0,0,0,2,0,0,60,4,0.52,1997
"Michoacán",3,0,0,0,0,0,46,109,124,168,76,8,13.67,1997
"Morelos",38,13,6,13,6,28,14,13,85,72,43,15,24.19,1997
"Nayarit",0,2,7,3,1,1,2,5,22,279,74,7,44.51,1997
"Nuevo León",11,1,1,13,2,19,22,28,112,309,156,1,18.81,1997
"Oaxaca",20,9,17,18,22,19,43,49,212,449,294,71,35.34,1997
"Puebla",0,4,0,0,0,0,1,6,17,7,2,0,0.74,1997
"Querétaro",0,0,0,0,0,0,1,0,1,0,0,0,0.15,1997
"Quintana Roo",67,24,28,78,68,92,93,210,333,113,22,4,153.04,1997
"San Luis Potosí",0,0,1,18,0,1,14,0,104,83,97,54,16.3,1997
"Sinaloa",3,1,0,11,3,5,9,10,20,44,6,0,4.59,1997
"Sonora",0,0,0,0,0,0,0,3,13,21,0,0,1.74,1997
"Tabasco",34,53,67,88,64,309,1895,2134,1977,1180,309,64,463.25,1997
"Tamaulipas",20,12,23,33,25,59,114,82,94,713,570,278,77.74,1997
"Tlaxcala",0,0,0,0,0,0,0,1,0,1,0,0,0.22,1997
"Veracruz",72,40,42,100,84,234,917,2147,3087,2636,1116,295,150.2,1997
"Yucatán",34,13,12,83,131,330,673,1126,1115,306,59,43,251.44,1997
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1997
