State,Population
Aguascalientes,944285
Baja California,2487367
Baja California Sur,424041
Campeche,690689
Coahuila de Zaragoza,2298070
Colima,542627
Chiapas,3920892
Chihuahua,3052907
Distrito Federal,8605239
Durango,1448661
Guanajuato,4663032
Guerrero,3079649
Hidalgo,2235591
Jalisco,6322002
México,13096686
Michoacán de Ocampo,3985667
Morelos,1555296
Nayarit,920185
Nuevo León,3834141
Oaxaca,3438765
Puebla,5076686
Querétaro de Arteaga,1404306
Quintana Roo,874963
San Luis Potosí,2299360
Sinaloa,2536844
Sonora,2216969
Tabasco,1891829
Tamaulipas,2753222
Tlaxcala,962646
Veracruz,6908975
Yucatán,1658210
Zacatecas,1353610
