"State","January","February","March","April","May","June","July","August","September","October","November","December","Yearly.Incidence.Per.100000","Year"
"Aguascalientes",0,0,0,0,0,0,0,0,0,0,0,0,0,1992
"Baja California",0,0,0,0,0,0,0,0,0,0,0,0,0,1992
"Baja California Sur",17,4,2,2,1,0,2,0,2,8,39,5,23.98,1992
"Campeche",2,2,1,0,0,0,0,1,6,6,0,0,3.18,1992
"Coahuila",0,0,0,0,0,0,0,0,0,0,61,149,10.01,1992
"Colima",0,1,1,1,2,5,7,1,7,23,18,28,20.35,1992
"Chiapas",14,12,0,5,0,1,3,1,17,2,3,10,1.99,1992
"Chihuahua",0,0,0,0,0,0,0,0,0,52,49,3,3.92,1992
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1992
"Durango",0,0,0,0,0,0,0,0,1,0,0,0,0.07,1992
"Guanajuato",0,0,0,0,0,0,0,0,0,0,0,0,0,1992
"Guerrero",1,1,10,8,4,2,27,13,20,53,55,34,8.25,1992
"Hidalgo",0,0,0,0,0,0,0,1,0,0,0,0,0.05,1992
"Jalisco",15,1,0,1,0,0,3,0,4,24,30,12,1.58,1992
"México",0,0,0,0,0,0,0,0,0,0,0,0,0,1992
"Michoacán",7,8,3,4,2,2,3,3,9,38,41,31,3.99,1992
"Morelos",0,0,0,0,0,0,0,3,0,0,10,9,1.69,1992
"Nayarit",56,46,22,15,17,39,48,69,314,106,69,38,95.74,1992
"Nuevo León",0,0,0,0,0,0,0,1,0,0,0,0,0.03,1992
"Oaxaca",31,13,25,23,17,35,22,27,23,48,39,16,9.98,1992
"Puebla",15,8,28,11,32,0,33,60,41,9,0,0,5.39,1992
"Querétaro",0,0,1,0,0,0,0,0,0,0,0,0,0.09,1992
"Quintana Roo",0,0,0,0,2,0,0,0,0,0,2,0,0.72,1992
"SanLuis Potosí",1,0,0,0,0,0,0,0,0,0,0,0,0.05,1992
"Sinaloa",28,11,14,6,10,136,24,49,991,2947,1119,122,233.89,1992
"Sonora",0,0,0,0,0,0,0,0,0,0,0,3596,187.13,1992
"Tabasco",8,1,1,0,2,0,0,1,3,3,1,0,1.25,1992
"Tamaulipas",0,0,0,0,1,0,2,0,0,9,8,4,0.99,1992
"Tlaxcala",0,0,1,0,0,0,0,0,0,0,0,0,0.12,1992
"Veracruz",1,3,3,0,1,1,1,5,253,44,7,3,4.86,1992
"Yucatán",5,1,1,0,3,0,4,2,8,1,4,0,2,1992
"Zacatecas",0,0,0,0,0,0,0,0,5,0,0,0,0.37,1992
