"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"AGUASCALIENTES",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"BAJA CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"BAJA CALIFORNIA SUR",0,0,0,0,0,0,0,0,1,6,2,0,2.16,2002
"CAMPECHE",1,1,0,6,4,20,40,110,80,88,21,1,50.55,2002
"COAHUILA",0,0,0,0,0,0,2,0,29,127,68,10,9.67,2002
"COLIMA",19,39,80,136,250,148,177,520,282,105,10,0,310.67,2002
"CHIAPAS",11,11,5,14,20,27,41,82,50,58,5,0,7.76,2002
"CHIHUAHUA",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"DISTRITO FEDERAL",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"DURANGO",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"GUANAJUATO",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"GUERRERO",17,14,5,21,90,63,303,854,548,194,69,13,67.11,2002
"HIDALGO",0,0,0,0,0,0,1,2,15,12,2,0,1.35,2002
"JALISCO",0,0,0,0,1,11,102,55,135,410,531,25,18.97,2002
"MEXICO",0,0,0,2,7,16,15,19,1,1,0,0,0.45,2002
"MICHOACAN",0,7,0,9,34,13,26,46,89,112,37,8,8.74,2002
"MORELOS",0,0,0,0,0,0,9,25,36,23,8,1,6.18,2002
"NAYARIT",0,0,0,0,0,0,32,111,203,435,213,21,103.61,2002
"NUEVO LEON",1,0,3,0,2,1,4,2,1,0,3,1,0.45,2002
"OAXACA",2,0,1,1,5,93,155,150,78,71,14,0,15.56,2002
"PUEBLA",0,0,0,0,0,0,3,1,1,7,1,0,0.25,2002
"QUERETARO",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"QUINTANA ROO",9,11,20,46,56,54,57,106,61,46,20,0,56.19,2002
"SAN LUIS POTOSI",0,0,0,0,0,0,0,0,0,3,0,0,0.12,2002
"SINALOA",0,0,0,0,2,0,2,39,62,282,177,2,22.42,2002
"SONORA",0,0,0,0,0,0,3,51,76,67,62,0,11.23,2002
"TABASCO",0,1,0,4,4,5,44,239,20,9,0,1,16.33,2002
"TAMAULIPAS",0,0,2,0,2,4,1,13,40,39,40,6,5.21,2002
"TLAXCALA",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
"VERACRUZ",148,61,45,40,86,338,690,361,256,235,94,3,32.71,2002
"YUCATAN",7,6,6,12,15,29,79,185,130,211,65,4,43.42,2002
"ZACATECAS",0,0,0,0,0,0,0,0,0,0,0,0,0,2002
