"State","January","February","March","April","May","June","July","August","September","October","November","December","Incidence.Per.100000","Year"
"Aguascalientes",8,0,0,0,0,0,0,0,0,0,0,0,1.27,1985
"Baja California",3,0,0,0,0,0,0,0,0,0,0,0,0.23,1985
"Baja California Sur",0,0,3,2,2,2,5,5,3,1,5,0,10.03,1985
"Campeche",0,0,1,2,0,0,5,1,4,6,0,1,3.75,1985
"Coahuila",0,0,0,0,0,0,0,0,265,736,341,0,74.28,1985
"Colima",17,16,42,47,24,39,68,261,422,369,403,407,530.99,1985
"Chiapas",2,3,6,1,5,3,6,10,0,10,10,0,2.34,1985
"Chihuahua",0,0,5,0,0,0,0,0,0,0,0,0,0.23,1985
"Distrito Federal",0,0,0,0,0,0,0,0,0,0,0,0,0,1985
"Durango",0,0,0,0,0,0,0,0,0,0,0,0,0,1985
"Guanajuato",0,0,2,0,0,0,0,0,0,1,0,0,0.09,1985
"Guerrero",9,4,4,75,8,0,118,12,37,38,23,58,15.93,1985
"Hidalgo",0,0,0,0,0,0,0,0,0,0,1,0,0.06,1985
"Jalisco",9,0,1,361,46,1,5,19,0,81,0,54,11.6,1985
"México",0,0,0,0,0,0,0,0,0,0,0,1,0.01,1985
"Michoacán",37,32,63,44,44,5,40,54,71,37,4,89,16.08,1985
"Morelos",0,0,0,0,0,0,3,0,0,0,0,0,0.26,1985
"Nayarit",5,3,70,7,92,13,15,34,45,37,54,89,57.06,1985
"Nuevo León",0,0,0,0,0,0,0,0,309,190,307,127,31.42,1985
"Oaxaca",7,3,21,13,19,7,61,19,0,1,173,599,35.67,1985
"Puebla",0,1,0,1,0,0,22,7,5,7,23,34,2.6,1985
"Querétaro",0,0,0,0,0,0,0,0,0,0,0,0,0,1985
"Quintana Roo",0,6,10,6,4,3,10,1,3,16,39,8,32.05,1985
"San Luis Potosí",0,0,125,17,20,4,1,12,2209,195,43,1,137.1,1985
"Sinaloa",10,7,8,2,7,0,13,19,525,967,729,54,106.47,1985
"Sonora",0,0,0,0,0,0,8,0,0,0,0,0,0.47,1985
"Tabasco",0,0,0,0,0,3,12,0,112,69,92,260,44.6,1985
"Tamaulipas",0,0,3,1,0,1,0,0,0,0,0,0,0.23,1985
"Tlaxcala",0,0,0,0,0,0,0,0,0,0,0,0,0,1985
"Veracruz",6,6,6,8,5,5,6,5,36,101,146,50,6.07,1985
"Yucatán",36,12,4,7,17,0,33,15,32,16,2,11,15.04,1985
"Zacatecas",0,0,0,0,0,0,0,0,0,0,0,0,0,1985
