"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","7","749","0.9%","lower"
"X.ILI.ETR","East Tennessee Region","7","8","153","2748","5.6%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","12","511","2.3%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","11","1002","1.1%","lower"
"X.ILI.MCR","Mid-Cumberland Region","9","10","17","1008","1.7%",""
"X.ILI.MSR","Shelby County (Memphis)","2","10","5","766","0.7%","lower"
"X.ILI.NDR","Nashville-Davidson County","5","6","47","1488","3.2%",""
"X.ILI.NER","Northeast Region","2","3","1","173","0.6%",""
"X.ILI.SCR","South Central Region","3","3","1","238","0.4%","lower"
"X.ILI.SER","Southeast Region","2","5","8","317","2.5%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","2","304","0.7%","lower"
"X.ILI.UCR","Upper Cumberland Region","3","4","4","518","0.8%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","2","204","1.0%",""
