"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","489","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","6","0","1304","0.0%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","2","3","6","858","0.7%","higher"
"X.ILI.MCR","Mid-Cumberland Region","8","10","4","1301","0.3%",""
"X.ILI.MSR","Shelby County (Memphis)","1","6","0","85","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","8","2265","0.4%",""
"X.ILI.NER","Northeast Region","2","3","1","311","0.3%",""
"X.ILI.SCR","South Central Region","3","3","0","317","0.0%",""
"X.ILI.SER","Southeast Region","3","4","0","675","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","228","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","2","939","0.2%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","357","0.0%",""
