"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","655","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","2","666","0.3%",""
"X.ILI.JMR","Jackson-Madison County","1","2","0","583","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","3","1764","0.2%",""
"X.ILI.MCR","Mid-Cumberland Region","10","11","12","1340","0.9%","higher"
"X.ILI.MSR","Shelby County (Memphis)","8","12","14","1105","1.3%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","5","2","418","0.5%",""
"X.ILI.NER","Northeast Region","2","3","0","172","0.0%",""
"X.ILI.SCR","South Central Region","2","3","2","96","2.1%","higher"
"X.ILI.SER","Southeast Region","4","5","0","407","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","322","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","0","535","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","312","0.0%",""
