"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","14","533","2.6%","lower"
"X.ILI.ETR","East Tennessee Region","7","9","272","2903","9.4%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","45","771","5.8%",""
"X.ILI.KKR","Knoxville-Knox County","1","3","22","108","20.4%","higher"
"X.ILI.MCR","Mid-Cumberland Region","10","14","76","1399","5.4%",""
"X.ILI.MSR","Shelby County (Memphis)","2","4","4","190","2.1%","lower"
"X.ILI.NDR","Nashville-Davidson County","5","11","61","1071","5.7%",""
"X.ILI.NER","Northeast Region","4","5","25","398","6.3%",""
"X.ILI.SCR","South Central Region","3","3","4","262","1.5%","lower"
"X.ILI.SER","Southeast Region","2","4","35","482","7.3%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","3","15","396","3.8%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","3","456","0.7%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","3","345","0.9%","lower"
