"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","2","167","1.2%",""
"X.ILI.ETR","East Tennessee Region","6","7","40","2464","1.6%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%","n/a"
"X.ILI.KKR","Knoxville-Knox County","2","3","8","1138","0.7%","lower"
"X.ILI.MCR","Mid-Cumberland Region","8","11","2","1099","0.2%","lower"
"X.ILI.MSR","Shelby County (Memphis)","6","12","60","932","6.4%","higher"
"X.ILI.NDR","Nashville-Davidson County","2","6","6","778","0.8%",""
"X.ILI.NER","Northeast Region","1","4","0","92","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","230","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","417","0.0%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","425","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","0","208","0.0%",""
