"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","0","558","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","6","7","51","2561","2.0%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","12","593","2.0%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","2","1374","0.2%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","11","1","881","0.1%","lower"
"X.ILI.MSR","Shelby County (Memphis)","7","12","37","848","4.4%","higher"
"X.ILI.NDR","Nashville-Davidson County","4","6","0","579","0.0%","lower"
"X.ILI.NER","Northeast Region","2","4","0","155","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","203","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","287","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","596","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","349","0.0%","lower"
