"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","2","505","0.4%",""
"X.ILI.ETR","East Tennessee Region","8","8","67","3517","1.9%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","8","516","1.6%",""
"X.ILI.KKR","Knoxville-Knox County","4","4","3","982","0.3%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","9","2","852","0.2%","lower"
"X.ILI.MSR","Shelby County (Memphis)","0","4","0","0","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","32","1362","2.3%","higher"
"X.ILI.NER","Northeast Region","2","2","0","309","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","273","0.0%",""
"X.ILI.SER","Southeast Region","4","4","7","736","1.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","538","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","5","2","569","0.4%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","364","0.0%","lower"
