"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","419","0.0%",""
"X.ILI.ETR","East Tennessee Region","6","7","2","2493","0.1%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","2","1186","0.2%",""
"X.ILI.MCR","Mid-Cumberland Region","8","10","0","1035","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","1","5","0","61","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","4","6","5","1423","0.4%","higher"
"X.ILI.NER","Northeast Region","2","3","0","292","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","323","0.0%",""
"X.ILI.SER","Southeast Region","4","4","1","541","0.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","216","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","0","638","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","313","0.0%",""
