"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","1","4","0","373","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","2","7","5","365","1.4%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","100","690","14.5%","higher"
"X.ILI.KKR","Knoxville-Knox County","1","3","10","596","1.7%","lower"
"X.ILI.MCR","Mid-Cumberland Region","5","11","0","315","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","9","11","78","1332","5.9%","higher"
"X.ILI.NDR","Nashville-Davidson County","3","8","0","112","0.0%","lower"
"X.ILI.NER","Northeast Region","1","4","0","68","0.0%",""
"X.ILI.SCR","South Central Region","2","3","1","123","0.8%",""
"X.ILI.SER","Southeast Region","4","5","1","126","0.8%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","1","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","443","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","1","332","0.3%","lower"
