"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","3","767","0.4%",""
"X.ILI.ETR","East Tennessee Region","8","8","13","2968","0.4%",""
"X.ILI.JMR","Jackson-Madison County","2","2","11","620","1.8%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","4","13","1710","0.8%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","9","1214","0.7%",""
"X.ILI.MSR","Shelby County (Memphis)","1","9","0","200","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","4","562","0.7%",""
"X.ILI.NER","Northeast Region","3","3","0","204","0.0%",""
"X.ILI.SCR","South Central Region","2","3","0","90","0.0%",""
"X.ILI.SER","Southeast Region","5","5","1","761","0.1%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","307","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","4","1","414","0.2%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","284","0.0%",""
