"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","1","582","0.2%","lower"
"X.ILI.ETR","East Tennessee Region","4","7","6","845","0.7%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","74","642","11.5%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","11","944","1.2%","lower"
"X.ILI.MCR","Mid-Cumberland Region","7","11","3","958","0.3%","lower"
"X.ILI.MSR","Shelby County (Memphis)","10","11","66","1325","5.0%","higher"
"X.ILI.NDR","Nashville-Davidson County","4","8","12","689","1.7%",""
"X.ILI.NER","Northeast Region","3","4","0","189","0.0%","lower"
"X.ILI.SCR","South Central Region","3","3","0","199","0.0%","lower"
"X.ILI.SER","Southeast Region","4","5","4","390","1.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","1","328","0.3%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","0","544","0.0%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","351","0.0%","lower"
