"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","25","607","4.1%",""
"X.ILI.ETR","East Tennessee Region","7","7","30","2546","1.2%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","90","919","9.8%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","4","41","791","5.2%",""
"X.ILI.MCR","Mid-Cumberland Region","9","10","75","1428","5.3%",""
"X.ILI.MSR","Shelby County (Memphis)","2","5","1","709","0.1%","lower"
"X.ILI.NDR","Nashville-Davidson County","2","6","128","1067","12.0%","higher"
"X.ILI.NER","Northeast Region","2","3","2","336","0.6%","lower"
"X.ILI.SCR","South Central Region","3","3","0","275","0.0%","lower"
"X.ILI.SER","Southeast Region","4","4","41","737","5.6%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","5","308","1.6%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","5","23","835","2.8%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","3","390","0.8%","lower"
