"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","5","5","11","780","1.4%","lower"
"X.ILI.ETR","East Tennessee Region","6","7","49","3611","1.4%","lower"
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","31","1136","2.7%",""
"X.ILI.MCR","Mid-Cumberland Region","8","12","48","1252","3.8%","higher"
"X.ILI.MSR","Shelby County (Memphis)","3","8","12","747","1.6%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","139","2225","6.2%","higher"
"X.ILI.NER","Northeast Region","3","3","4","579","0.7%","lower"
"X.ILI.SCR","South Central Region","3","3","0","272","0.0%","lower"
"X.ILI.SER","Southeast Region","5","5","35","1189","2.9%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","4","532","0.8%","lower"
"X.ILI.UCR","Upper Cumberland Region","5","5","15","1100","1.4%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","3","369","0.8%","lower"
