"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","0","627","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","1","1673","0.1%",""
"X.ILI.JMR","Jackson-Madison County","0","1","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","3","4","1","972","0.1%",""
"X.ILI.MCR","Mid-Cumberland Region","6","11","0","544","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","3","9","2","750","0.3%",""
"X.ILI.NDR","Nashville-Davidson County","3","6","3","445","0.7%","higher"
"X.ILI.NER","Northeast Region","2","3","0","318","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","315","0.0%",""
"X.ILI.SER","Southeast Region","3","4","0","132","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","196","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","1","676","0.1%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","565","0.0%",""
