"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","5","5","14","774","1.8%","lower"
"X.ILI.ETR","East Tennessee Region","7","7","63","4216","1.5%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","11","1023","1.1%","lower"
"X.ILI.KKR","Knoxville-Knox County","1","4","22","664","3.3%",""
"X.ILI.MCR","Mid-Cumberland Region","7","12","67","1284","5.2%","higher"
"X.ILI.MSR","Shelby County (Memphis)","4","6","11","881","1.2%","lower"
"X.ILI.NDR","Nashville-Davidson County","6","6","191","2426","7.9%","higher"
"X.ILI.NER","Northeast Region","2","3","17","328","5.2%","higher"
"X.ILI.SCR","South Central Region","3","3","0","296","0.0%","lower"
"X.ILI.SER","Southeast Region","4","5","40","954","4.2%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","23","707","3.3%",""
"X.ILI.UCR","Upper Cumberland Region","5","5","29","1301","2.2%","lower"
"X.ILI.WTR","West Tennessee Region","5","6","2","374","0.5%","lower"
