"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","2","629","0.3%","lower"
"X.ILI.ETR","East Tennessee Region","3","7","0","477","0.0%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","185","753","24.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","2","3","116","1352","8.6%","higher"
"X.ILI.MCR","Mid-Cumberland Region","8","15","12","1115","1.1%","lower"
"X.ILI.MSR","Shelby County (Memphis)","9","11","127","1289","9.9%","higher"
"X.ILI.NDR","Nashville-Davidson County","5","9","23","768","3.0%","lower"
"X.ILI.NER","Northeast Region","4","4","4","261","1.5%","lower"
"X.ILI.SCR","South Central Region","3","3","0","237","0.0%","lower"
"X.ILI.SER","Southeast Region","4","5","18","505","3.6%","lower"
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","1","0","281","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","4","3","592","0.5%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","304","0.0%","lower"
