"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","5","0","375","0.0%",""
"X.ILI.ETR","East Tennessee Region","7","7","0","2947","0.0%",""
"X.ILI.JMR","Jackson-Madison County","0","0","0","0","0.0%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","0","655","0.0%",""
"X.ILI.MCR","Mid-Cumberland Region","7","9","0","709","0.0%",""
"X.ILI.MSR","Shelby County (Memphis)","2","5","0","801","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","5","974","0.5%","higher"
"X.ILI.NER","Northeast Region","2","3","0","300","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","263","0.0%",""
"X.ILI.SER","Southeast Region","4","4","0","414","0.0%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","0","190","0.0%",""
"X.ILI.UCR","Upper Cumberland Region","4","5","0","724","0.0%",""
"X.ILI.WTR","West Tennessee Region","5","6","0","208","0.0%",""
