"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","3","4","1","521","0.2%","lower"
"X.ILI.ETR","East Tennessee Region","8","8","74","3463","2.1%","higher"
"X.ILI.JMR","Jackson-Madison County","1","1","26","487","5.3%","higher"
"X.ILI.KKR","Knoxville-Knox County","5","4","6","2036","0.3%","lower"
"X.ILI.MCR","Mid-Cumberland Region","8","9","11","1203","0.9%",""
"X.ILI.MSR","Shelby County (Memphis)","1","4","0","64","0.0%",""
"X.ILI.NDR","Nashville-Davidson County","5","6","46","1533","3.0%","higher"
"X.ILI.NER","Northeast Region","3","2","4","506","0.8%",""
"X.ILI.SCR","South Central Region","2","3","0","205","0.0%",""
"X.ILI.SER","Southeast Region","4","4","23","875","2.6%","higher"
"X.ILI.SUL","Sullivan County (Tri-Cities)","2","2","0","529","0.0%","lower"
"X.ILI.UCR","Upper Cumberland Region","4","5","3","669","0.4%","lower"
"X.ILI.WTR","West Tennessee Region","4","6","1","284","0.4%",""
