"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","2","4","0","586","0.0%",""
"X.ILI.ETR","East Tennessee Region","4","7","12","1300","0.9%","higher"
"X.ILI.JMR","Jackson-Madison County","1","2","6","636","0.9%",""
"X.ILI.KKR","Knoxville-Knox County","2","4","12","1592","0.8%",""
"X.ILI.MCR","Mid-Cumberland Region","6","10","0","982","0.0%","lower"
"X.ILI.MSR","Shelby County (Memphis)","3","6","2","332","0.6%",""
"X.ILI.NDR","Nashville-Davidson County","3","5","4","767","0.5%",""
"X.ILI.NER","Northeast Region","1","3","0","105","0.0%",""
"X.ILI.SCR","South Central Region","3","3","0","270","0.0%",""
"X.ILI.SER","Southeast Region","3","5","1","275","0.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","0","510","0.0%",""
"X.ILI.WTR","West Tennessee Region","6","6","0","260","0.0%",""
