"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","4","8","821","1.0%","lower"
"X.ILI.ETR","East Tennessee Region","7","7","218","2467","8.8%","higher"
"X.ILI.JMR","Jackson-Madison County","2","2","55","637","8.6%","higher"
"X.ILI.KKR","Knoxville-Knox County","1","4","27","1203","2.2%","lower"
"X.ILI.MCR","Mid-Cumberland Region","6","10","22","843","2.6%","lower"
"X.ILI.MSR","Shelby County (Memphis)","5","5","2","930","0.2%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","5","37","1119","3.3%",""
"X.ILI.NER","Northeast Region","2","3","2","177","1.1%",""
"X.ILI.SCR","South Central Region","3","3","0","232","0.0%","lower"
"X.ILI.SER","Southeast Region","4","5","11","454","2.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","0","2","0","0","0.0%","n/a"
"X.ILI.UCR","Upper Cumberland Region","3","4","1","402","0.3%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","7","372","1.9%","lower"
