"abbr.name","region.name","num.sites.reporting","total.sites","total.regional.ILI","total.regional.patients","percent.ILI","compared.to.state"
"X.ILI.CHR","Hamilton County (Chattanooga)","4","5","0","589","0.0%","lower"
"X.ILI.ETR","East Tennessee Region","7","7","25","2496","1.0%","lower"
"X.ILI.JMR","Jackson-Madison County","1","1","41","923","4.4%","higher"
"X.ILI.KKR","Knoxville-Knox County","3","3","14","1210","1.2%",""
"X.ILI.MCR","Mid-Cumberland Region","8","10","6","500","1.2%",""
"X.ILI.MSR","Shelby County (Memphis)","2","5","3","649","0.5%","lower"
"X.ILI.NDR","Nashville-Davidson County","4","6","61","798","7.6%","higher"
"X.ILI.NER","Northeast Region","1","3","5","77","6.5%","higher"
"X.ILI.SCR","South Central Region","3","3","0","316","0.0%","lower"
"X.ILI.SER","Southeast Region","4","4","12","509","2.4%",""
"X.ILI.SUL","Sullivan County (Tri-Cities)","1","2","7","208","3.4%",""
"X.ILI.UCR","Upper Cumberland Region","3","5","1","603","0.2%","lower"
"X.ILI.WTR","West Tennessee Region","6","6","0","408","0.0%","lower"
